month,site_anomaly_m,site_sd_m,n_wells,P_m,PET,site_anomaly_smoothed_m
1955-03-01,0.45189702572870954,0.08106203310337406,50,0.034,0.0211846319690771,0.28140910714198114
1955-04-01,0.3387348808791982,0.07797377406023662,50,0.052,0.049222504547819,0.26546029554518596
1955-05-01,0.23372652849741582,0.07079315584289698,50,0.0586,0.0678997321215774,0.20937028492882379
1955-06-01,0.2721631735604365,0.04496019282070381,50,0.1009,0.0932401308472496,0.10991508233066583
1955-07-01,-0.034606580103550166,0.04103286982515946,50,0.0258,0.116919157233053,0.022143280414939525
1955-08-01,-0.2973254760827704,0.06874265783776688,50,0.0269,0.1051311499299416,-0.056547511554297235
1955-09-01,-0.3831026963754375,0.07466497789809755,50,0.0537,0.0721935456609906,-0.14047547294095442
1955-10-01,-0.5061923386019404,0.09233780549742215,50,0.0327,0.0432603738348458,-0.22325083482373545
1955-11-01,-0.615314994521086,0.11304830380527629,50,0.0278,0.0263539637087123,-0.3065546068282554
1955-12-01,-0.4510893939926093,0.0829075968308724,50,0.0909,0.0215349305591873,-0.3908462340538444
1956-01-01,-0.2973460262486755,0.06398982348648671,50,0.0892999999999999,0.0159225307882052,-0.48602675199240447
1956-02-01,-0.39724977803114386,0.1026954160286247,50,0.0265,0.0061245659037564,-0.544765041320078
1956-03-01,-0.5414073168646627,0.13090680168787797,50,0.0233,0.0327135421431562,-0.5341003176561332
1956-04-01,-0.6609103831750416,0.14750267263391723,50,0.0294,0.0402593471914949,-0.5156250524977518
1956-05-01,-0.7777729982096514,0.14556282742698093,50,0.0391,0.0714508467255671,-0.48512319684263766
1956-06-01,-0.8700030417022856,0.13538797340022815,50,0.0475,0.0836343412938321,-0.4548143079882067
1956-07-01,-0.7394660520356312,0.0850318354768539,50,0.1072999999999999,0.1026514433498612,-0.4196647057479869
1956-08-01,-0.16934879211543322,0.08840550326757537,50,0.2104,0.0831094601610673,-0.38706215556283036
1956-09-01,-0.1613995144748603,0.09549738351115145,50,0.0805999999999999,0.0751143749978111,-0.33383372540377093
1956-10-01,-0.1401700707405705,0.08641557682393737,50,0.0735,0.0458198433204075,-0.2696188094278868
