well,code,month,observed_m_bg,predicted_m_bg,predicted_lo_m_bg,predicted_hi_m_bg,residual_m
nw3,1E,1991-05,-1.0979999999999999,-1.0739100586569499,-1.0739100586569499,-0.6609624207121549,-0.02408994134304998
nw3,1E,1991-06,-1.028,-1.2021469242490643,-1.2021469242490643,-0.7955944031980962,0.1741469242490643
nw3,1E,1991-07,-1.0879999999999999,-1.4971550555698978,-1.4971550555698978,-1.1071567874605819,0.40915505556989795
nw3,1E,1991-08,-1.278,-1.708700518067513,-1.708700518067513,-1.3307271378636607,0.43070051806751297
nw3,1E,1991-09,-1.3279999999999998,-1.8451115565127947,-1.8451115565127947,-1.477433437209834,0.5171115565127948
nw3,1E,1991-10,-1.248,-1.6255556225353505,-1.6255556225353505,-1.2386399807820898,0.37755562253535047
nw3,1E,1991-11,-1.188,-1.463086379596104,-1.463086379596104,-1.0665447424934607,0.27508637959610405
nw3,1E,1991-12,-1.278,-1.5358785517439266,-1.5358785517439266,-1.1542097886155793,0.2578785517439266
nw3,1E,1992-01,-1.268,-1.5341754165931145,-1.5341754165931145,-1.160075259163107,0.2661754165931145
nw3,1E,1992-02,-1.248,-1.4865647968679763,-1.4865647968679763,-1.11348395040657,0.23856479686797627
nw3,1E,1992-03,-1.0979999999999999,-1.3672576820056297,-1.3672576820056297,-0.9851060767877566,0.26925768200562983
nw3,1E,1992-04,-1.0879999999999999,-1.3602810424594325,-1.3602810424594325,-0.9779848298320417,0.27228104245943263
nw3,1E,1992-05,-1.0879999999999999,-1.3418530173221481,-1.3418530173221481,-0.9508009551684118,0.25385301732214827
nw3,1E,1992-06,-1.308,-1.485277314556176,-1.485277314556176,-1.0985316556191547,0.1772773145561759
nw3,1E,1992-07,-1.318,-1.5610770113026873,-1.5610770113026873,-1.1719145245380174,0.24307701130268722
nw3,1E,1992-08,-1.218,-1.4451802879840037,-1.4451802879840037,-1.038097328158544,0.2271802879840037
nw3,1E,1992-09,-1.218,-1.4309697249769673,-1.4309697249769673,-1.021309295142004,0.2129697249769673
nw3,1E,1992-10,-1.138,-1.3342066468534304,-1.3342066468534304,-0.9196043432702712,0.19620664685343048
nw3,1E,1992-11,-0.738,-1.057218084112641,-1.057218084112641,-0.6213339717993747,0.3192180841126411
nw3,1E,1992-12,-0.628,-0.8829509482293125,-0.8829509482293125,-0.4382038102908682,0.2549509482293125
nw3,1E,1993-01,-0.588,-0.7948168780594645,-0.7948168780594645,-0.34793079317594855,0.20681687805946458
nw3,1E,1993-02,-0.728,-0.9108934467482432,-0.9108934467482432,-0.4817489880013527,0.18289344674824326
nw3,1E,1993-03,-0.7979999999999999,-1.024007521300285,-1.024007521300285,-0.6097894951464538,0.22600752130028512
nw3,1E,1993-04,-0.8979999999999999,-1.0192627719296228,-1.0192627719296228,-0.6039110248165845,0.12126277192962287
nw3,1E,1993-05,-0.6779999999999999,-0.7939040338800304,-0.7939040338800304,-0.35093184000927885,0.11590403388003045
nw3,1E,1993-06,-0.948,-0.827821006488378,-0.827821006488378,-0.37961443731862143,-0.12017899351162198
nw3,1E,1993-07,-1.058,-1.0265451081920425,-1.0265451081920425,-0.5885109430774784,-0.031454891807957575
nw3,1E,1993-08,-1.168,-1.1933827239826222,-1.1933827239826222,-0.7654916275367607,0.025382723982622313
nw3,1E,1993-09,-1.138,-1.1353587056482277,-1.1353587056482277,-0.7003851002773722,-0.002641294351772183
nw3,1E,1993-10,-1.298,-1.2439273221903968,-1.2439273221903968,-0.8242293504293179,-0.05407267780960323
nw3,1E,1993-11,-0.7779999999999999,-1.0848948674978294,-1.0848948674978294,-0.656643071860606,0.30689486749782946
nw3,1E,1993-12,-0.9079999999999999,-0.8229434136352592,-0.8229434136352592,-0.3756865700407823,-0.08505658636474067
nw3,1E,1994-01,-0.828,-0.7361967058872536,-0.7361967058872536,-0.28683881893103885,-0.09180329411274635
nw3,1E,1994-02,-0.818,-0.5902880529452319,-0.5902880529452319,-0.13345682796372388,-0.22771194705476805
nw3,1E,1994-03,-0.40800000000000003,-0.37988831162293585,-0.37988831162293585,0.09550921250837269,-0.02811168837706418
nw3,1E,1994-04,-0.298,-0.28087850560652267,-0.28087850560652267,0.2040004151041948,-0.01712149439347732
nw3,1E,1994-05,-0.608,-0.509538580338087,-0.509538580338087,-0.04194297590644072,-0.09846141966191302
nw3,1E,1994-06,-0.7979999999999999,-0.8150493674566446,-0.8150493674566446,-0.36899836311152745,0.01704936745664465
nw3,1E,1994-07,-0.838,-1.0339362834603465,-1.0339362834603465,-0.5977810851710055,0.19593628346034653
nw3,1E,1994-08,-1.128,-1.057477693752246,-1.057477693752246,-0.6155410408039914,-0.0705223062477538
nw3,1E,1994-09,-0.968,-1.0128580709550028,-1.0128580709550028,-0.5648295286854752,0.04485807095500283
nw3,1E,1994-10,-0.968,-1.0120645725691324,-1.0120645725691324,-0.5661005788559894,0.04406457256913243
nw3,1E,1994-11,-0.6679999999999999,-0.9005630097723388,-0.9005630097723388,-0.4481222027285412,0.2325630097723389
nw3,1E,1994-12,-0.398,-0.5843500022691664,-0.5843500022691664,-0.10722666054580537,0.18635000226916643
nw3,1E,1995-01,0.002000000000000196,-0.2364359755034226,-0.2364359755034226,0.26795082140881293,0.2384359755034228
nw3,1E,1995-02,0.002000000000000196,-0.09307467254934798,-0.09307467254934798,0.4197582453534443,0.09507467254934818
nw3,1E,1995-03,-0.098,-0.17951108542641311,-0.17951108542641311,0.32010558997783756,0.08151108542641311
