decade,well,scope,mean_anomaly_m
2000,ceh6,well,-0.007983191731294246
2000,ceh9,well,-0.019154548672648968
2000,d10,well,-0.0014639357262597194
2000,d15,well,0.0005259766471488495
2000,d17,well,0.0014578595821383596
2000,d25,well,-0.002434781865836373
2000,d38,well,0.0041567719831474064
2000,d41,well,-0.0006669659539840412
2000,d43,well,0.004650454559738049
2000,d44,well,0.004099777907193772
2000,d5,well,0.002662078911660803
2000,d6,well,0.0028422355530267054
2000,d7,well,0.002249685694937729
2000,d8,well,-0.0030448741271988525
2000,d9,well,0.0010281825007744897
2000,l7,well,0.010558998447750774
2000,nw1,well,0.022352787990746834
2000,nw13,well,-0.036250057976150295
2000,nw2,well,0.027872665626265725
2000,nw3,well,0.02819550833839164
2000,nw4,well,0.021539712538387042
2000,nw4b,well,0.004117531686042255
2000,nw5,well,0.025235975683882576
2000,nw6,well,0.02074543683201545
2000,nw7,well,0.014506598833650268
2000,t41a,well,0.005694378849202093
2000,t41b,well,-0.0012552761311031746
2000,t41c,well,0.0011061499229115894
2000,t41d,well,0.0010904329329880498
2000,wmc1,well,-0.010156719349818561
2000,wmc2,well,-0.01475027603429484
2000,wmc4,well,-0.03600240376783688
2010,ceh1,well,0.001594726001731393
2010,ceh10,well,-0.016118551650762262
2010,ceh11,well,-0.020149193032573662
2010,ceh18,well,-0.005628950966518723
2010,ceh21,well,0.0012931984467907081
2010,ceh23,well,-0.01820833566864826
2010,ceh24,well,-0.011206673365278424
2010,ceh25,well,-0.025823264973639078
2010,ceh26,well,-0.016838039600413843
2010,ceh27,well,-0.01994991045689766
2010,ceh28,well,-0.01063304521503855
2010,ceh36,well,-0.009858784969661742
2010,ceh39,well,0.003474696525080539
2010,ceh4,well,-0.006688244454127564
2010,ceh40,well,-0.03228046744217653
2010,ceh41,well,-0.03194374981614325
2010,ceh42,well,-0.03867024567212112
2010,ceh5,well,-0.022112505134497643
2010,ceh6,well,-0.031422190827292154
2010,ceh9,well,0.030816209774825926
2010,d10,well,-0.0028146363971389937
2010,d15,well,-0.004399413820236759
2010,d17,well,-0.011075781748717536
2010,d25,well,-0.004545229230432017
2010,d38,well,-0.019194116089781683
2010,d41,well,-0.008766616976758946
2010,d43,well,-0.010058577552217892
2010,d44,well,-0.014866675587744115
2010,d5,well,-0.008297268279806421
2010,d6,well,-0.00580468358353108
2010,d7,well,-0.012990158705302563
2010,d8,well,-0.0019467269303020613
2010,d9,well,-0.0029432284459630694
2010,l7,well,-0.004579776153378109
2010,nw1,well,0.00442502202294527
2010,nw13,well,-0.05508118507120458
2010,nw2,well,0.01137112646561245
2010,nw3,well,0.021592577766408234
2010,nw4,well,0.022678399275985982
2010,nw4b,well,0.00017455974116914694
2010,nw5,well,0.035859861791068454
2010,nw6,well,0.024452855997729332
2010,nw7,well,0.04082743602909497
2010,t41a,well,-0.017296259716926
2010,t41b,well,-0.009230861500732084
2010,t41c,well,-0.010310048593085985
2010,t41d,well,-0.008509198749145873
2010,wmc1,well,-0.010704657978585195
2010,wmc2,well,0.00011519709900862698
2010,wmc4,well,-0.054942834528679554
2020,ceh1,well,0.022381218153554698
2020,ceh10,well,0.026588422123902035
2020,ceh11,well,0.03353902746605832
2020,ceh18,well,0.008202884398312293
2020,ceh21,well,0.006545275988932872
2020,ceh23,well,0.036692807598759536
2020,ceh24,well,0.027559205940086068
2020,ceh25,well,0.05010797097562218
2020,ceh26,well,0.03675644340761645
2020,ceh27,well,0.04066006716807785
2020,ceh28,well,0.025852921139271234
2020,ceh36,well,0.007832762373951516
2020,ceh39,well,-0.012385369345144382
2020,ceh4,well,0.025005879306907494
2020,ceh40,well,-0.03847718692743938
2020,ceh41,well,-0.04552578422809313
2020,ceh42,well,-0.022032049076291506
2020,ceh5,well,0.035503589977717784
2020,ceh6,well,0.04284820278140302
2020,ceh9,well,0.012126463822315818
2020,d10,well,0.014268342679163062
2020,d15,well,0.017269503981295373
2020,d17,well,0.02678934627454457
2020,d25,well,0.01570832349378756
2020,d38,well,0.04060747513375172
2020,d41,well,0.02245562830515775
2020,d43,well,0.026140644855771163
2020,d44,well,0.0329960979619192
2020,d5,well,0.022817251773453548
2020,d6,well,0.019480828850743218
2020,d7,well,0.02989092429615166
2020,d8,well,0.016007682524684833
2020,d9,well,0.01502135338279874
2020,l7,well,0.019285149889804863
2020,nw1,well,0.04105499992997161
2020,nw13,well,-0.01073478606664927
2020,nw2,well,0.049756308479865716
2020,nw3,well,0.04709709608648714
2020,nw4,well,0.045227457242034294
2020,nw4b,well,0.027952205642178457
2020,nw5,well,0.03854825002046581
2020,nw6,well,0.04249986854370507
2020,nw7,well,0.02621458152100501
2020,t41a,well,0.03859021277606021
2020,t41b,well,0.023150742440924292
2020,t41c,well,0.025494794891263238
2020,t41d,well,0.0222302455698321
2020,wmc1,well,0.007616706867810916
2020,wmc2,well,0.0022542371558102667
2020,wmc4,well,-0.011097883739941763
