mode,month,well,observed_h_m,modelled_h_recurrence_m,modelled_h_nearest_hollow_m
R,2006-12,ceh11,-0.1,0.075,0.716
R,2006-12,ceh13,-0.49,-0.428,-3.361
R,2006-12,ceh14,-0.69,-0.522,-3.093
R,2006-12,nw8,-0.59,-0.807,-1.052
R,2006-12,ceh3,-0.18,-0.276,0.03
R,2006-12,ceh7,-0.01,-0.056,0.32
R,2006-12,ceh8,-0.15,0.042,0.029
R,2006-12,ceh12,-0.87,-0.646,-23.737
R,2007-01,nw1,-0.83,-0.798,-1.286
R,2007-01,nw2,-0.03,-0.142,-0.254
R,2007-01,nw3,0.03,0.046,-0.603
R,2007-01,nw4,0.03,0.261,0.092
R,2007-01,nw4b,0.02,0.238,-0.004
R,2007-01,nw5,0.3,0.008,0.45
R,2007-01,nw6,0.27,0.198,-0.06
R,2007-01,nw7,-0.35,-0.395,-0.9
R,2007-01,nw9,0.571,-0.066,1.017
R,2007-01,ceh1,0.4,-0.015,-1.004
R,2007-01,ceh2,-0.34,-0.613,-1.672
R,2007-01,ceh4,0.04,0.222,-0.045
R,2007-01,ceh5,0.07,0.127,-0.41
R,2007-01,ceh6,0.28,0.258,0.231
R,2007-01,ceh9,-0.1,-0.031,-1.808
R,2007-01,ceh10,-0.21,-0.544,-0.449
R,2007-01,ceh11,-0.02,0.127,0.64
R,2007-01,ceh13,-0.31,-0.325,-3.261
R,2007-01,ceh14,-0.4,-0.418,-3.0
R,2007-01,nw8,-0.34,-0.75,-1.018
R,2007-01,ceh3,-0.09,-0.242,0.072
R,2007-01,ceh7,0.02,0.023,0.353
R,2007-01,ceh8,-0.13,0.115,0.085
R,2007-01,ceh12,-0.7,-0.529,-23.654
R,2007-02,nw1,-0.88,-0.857,-1.41
R,2007-02,nw2,-0.05,-0.237,-0.361
R,2007-02,nw3,0.01,-0.071,-0.714
R,2007-02,nw4,0.03,0.13,-0.048
R,2007-02,nw4b,0.03,0.109,-0.144
R,2007-02,nw5,0.13,-0.096,0.264
R,2007-02,nw6,0.22,0.083,-0.191
R,2007-02,nw7,-0.35,-0.476,-1.043
R,2007-02,nw9,0.381,-0.158,0.924
R,2007-02,ceh1,0.36,-0.118,-1.091
R,2007-02,ceh2,-0.39,-0.621,-1.759
R,2007-02,ceh4,0.02,0.106,-0.196
R,2007-02,ceh5,-0.01,-0.049,-0.573
R,2007-02,ceh6,0.21,0.071,0.039
R,2007-02,ceh9,-0.1,-0.133,-1.994
R,2007-02,ceh10,-0.46,-0.623,-0.566
R,2007-02,ceh11,-0.05,-0.049,0.349
R,2007-02,ceh13,-0.4,-0.338,-3.276
R,2007-02,ceh14,-0.33,-0.429,-3.083
R,2007-02,nw8,-0.5,-0.81,-1.101
R,2007-02,ceh3,-0.11,-0.325,-0.079
R,2007-02,ceh7,0.05,-0.092,0.194
R,2007-02,ceh8,-0.12,-0.006,-0.053
R,2007-02,ceh12,-0.93,-0.609,-23.745
R,2007-03,nw1,-1.15,-0.927,-1.543
R,2007-03,nw2,-0.33,-0.343,-0.477
R,2007-03,nw3,-0.14,-0.194,-0.831
R,2007-03,nw4,-0.1,-0.006,-0.193
R,2007-03,nw4b,-0.13,-0.027,-0.289
R,2007-03,nw5,-0.01,-0.21,0.073
R,2007-03,nw6,0.06,-0.041,-0.331
R,2007-03,nw7,-0.62,-0.568,-1.193
R,2007-03,nw9,0.051,-0.256,0.82
R,2007-03,ceh1,0.15,-0.231,-1.189
R,2007-03,ceh2,-0.52,-0.654,-1.857
R,2007-03,ceh4,-0.04,-0.02,-0.351
R,2007-03,ceh5,-0.12,-0.213,-0.74
R,2007-03,ceh6,-0.23,-0.104,-0.14
R,2007-03,ceh9,-0.14,-0.245,-2.185
R,2007-03,ceh10,-0.84,-0.711,-0.688
R,2007-03,ceh11,-0.27,-0.213,0.08
R,2007-03,ceh13,-0.46,-0.377,-3.317
R,2007-03,ceh14,-0.39,-0.466,-3.176
R,2007-03,nw8,-0.65,-0.879,-1.192
R,2007-03,ceh3,-0.36,-0.416,-0.234
R,2007-03,ceh7,-0.15,-0.214,0.031
R,2007-03,ceh8,-0.16,-0.134,-0.197
R,2007-03,ceh12,-1.07,-0.698,-23.847
R,2007-04,nw1,-1.36,-1.132,-1.808
R,2007-04,nw2,-0.57,-0.582,-0.726
R,2007-04,nw3,-0.4,-0.458,-1.089
R,2007-04,nw4,-0.32,-0.283,-0.476
R,2007-04,nw4b,-0.32,-0.301,-0.572
R,2007-04,nw5,-0.19,-0.456,-0.247
R,2007-04,nw6,-0.13,-0.297,-0.601
R,2007-04,nw7,-0.79,-0.794,-1.474
R,2007-04,nw9,-0.149,-0.445,0.584
R,2007-04,ceh1,-0.32,-0.476,-1.42
R,2007-04,ceh2,-0.74,-0.813,-2.088
R,2007-04,ceh4,-0.16,-0.277,-0.645
R,2007-04,ceh5,-0.39,-0.508,-1.045
R,2007-04,ceh6,-0.42,-0.409,-0.449
R,2007-04,ceh9,-0.18,-0.489,-2.505
R,2007-04,ceh10,-1.16,-0.942,-0.952
R,2007-04,ceh11,-0.51,-0.508,-0.311
R,2007-04,ceh13,-0.6,-0.541,-3.484
R,2007-04,ceh14,-0.59,-0.629,-3.403
R,2007-04,nw8,-0.81,-1.04,-1.374
R,2007-04,ceh3,-0.49,-0.598,-0.528
R,2007-04,ceh7,-0.33,-0.477,-0.27
R,2007-04,ceh8,-0.29,-0.402,-0.479
R,2007-04,ceh12,-1.22,-0.929,-24.082
R,2007-05,nw1,-1.6,-1.247,-1.978
R,2007-05,nw2,-0.69,-0.728,-0.882
R,2007-05,nw3,-0.55,-0.613,-1.238
R,2007-05,nw4,-0.22,-0.449,-0.65
R,2007-05,nw4b,-0.27,-0.466,-0.746
R,2007-05,nw5,-0.36,-0.609,-0.469
R,2007-05,nw6,-0.26,-0.459,-0.778
R,2007-05,nw7,-0.94,-0.928,-1.659
R,2007-05,nw9,-0.049,-0.573,0.44
R,2007-05,nw10,-0.88,-1.09,-1.005
R,2007-05,nw11,-0.75,-0.941,-1.068
R,2007-05,ceh1,-0.5,-0.628,-1.559
R,2007-05,ceh2,-0.95,-0.937,-2.227
R,2007-05,ceh4,-0.29,-0.44,-0.828
R,2007-05,ceh5,-0.57,-0.653,-1.238
R,2007-05,ceh6,-0.55,-0.562,-0.607
R,2007-05,ceh9,-0.41,-0.64,-2.727
R,2007-05,ceh10,-1.39,-1.066,-1.106
R,2007-05,ceh11,-0.63,-0.653,-0.544
R,2007-05,ceh13,-0.67,-0.669,-3.615
R,2007-05,ceh14,-0.75,-0.756,-3.538
R,2007-05,nw8,-0.97,-1.142,-1.495
R,2007-05,nw12,-0.67,-1.053,-2.974
R,2007-05,ceh3,-0.55,-0.719,-0.711
R,2007-05,ceh7,-0.51,-0.631,-0.46
R,2007-05,ceh8,-0.39,-0.56,-0.652
R,2007-05,ceh12,-1.37,-1.054,-24.224
R,2007-06,nw1,-1.47,-1.279,-2.062
R,2007-06,nw2,-0.61,-0.789,-0.952
R,2007-06,nw3,-0.46,-0.666,-1.286
R,2007-06,nw4,-0.05,-0.512,-0.72
R,2007-06,nw4b,-0.06,-0.529,-0.816
R,2007-06,nw5,-0.34,-0.677,-0.602
R,2007-06,nw6,-0.09,-0.535,-0.867
R,2007-06,nw7,-0.99,-0.978,-1.758
R,2007-06,nw9,-0.299,-0.644,0.38
R,2007-06,nw10,-0.95,-1.188,-1.063
R,2007-06,nw11,-0.73,-0.99,-1.119
R,2007-06,ceh1,-0.4,-0.695,-1.614
R,2007-06,ceh2,-1.08,-1.037,-2.282
R,2007-06,ceh4,-0.24,-0.518,-0.907
R,2007-06,ceh5,-0.5,-0.652,-1.326
R,2007-06,ceh6,-0.33,-0.569,-0.618
R,2007-06,ceh9,-0.44,-0.706,-2.86
R,2007-06,ceh10,-1.43,-1.089,-1.158
R,2007-06,ceh11,-0.48,-0.652,-0.622
R,2007-06,ceh13,-0.82,-0.775,-3.722
R,2007-06,ceh14,-0.9,-0.86,-3.589
R,2007-06,nw8,-0.97,-1.187,-1.56
R,2007-06,nw12,-0.84,-1.151,-3.02
R,2007-06,ceh3,-0.56,-0.784,-0.79
R,2007-06,ceh7,-0.52,-0.683,-0.545
R,2007-06,ceh8,-0.38,-0.617,-0.721
R,2007-06,ceh12,-1.51,-1.078,-24.282
R,2007-07,nw1,-1.51,-1.227,-2.059
R,2007-07,nw2,-0.7,-0.765,-0.936
R,2007-07,nw3,-0.58,-0.625,-1.239
R,2007-07,nw4,-0.43,-0.481,-0.695
