well,network,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,se_beta_1,se_beta_2,se_beta_3,n_obs,h_disp_eq_m,EWI_m_bg,EWI_se_m_beta3,EWI_se_m_full,cluster_id,cluster_label,E,N
ceh42,reference,3.2052410912436806,1.2734290775207158,0.0506068509560272,0.24052513637589074,0.29844460407801787,0.008505413979117502,100,3.1887242025163274,-0.5112757974836728,0.5359238698965632,0.7075827559689937,3,C3 (Western Residual),242120.528,362743.198
wmc1,reference,3.661208880885262,1.682037875156618,0.0555389303833692,0.27018280256650967,0.34195050749118877,0.009814563199074994,100,3.1013381351596587,-0.5986618648403415,0.5480530308941711,0.7267379560484394,2,C2 (Dune),242765.629,363643.556
wmc2,reference,3.366339565244102,1.8100808855710104,0.0469227474075692,0.22156518298088407,0.2826561556508051,0.00830082649396651,100,3.0768601572036784,-0.6231398427963217,0.5443091831197052,0.7158865061692141,3,C3 (Western Residual),241885.149,362855.856
wmc3,reference,2.4068160539821446,1.8406583073265763,0.0315683133734835,0.2234130659523102,0.2906164225596122,0.010422835770986193,100,2.3502030964267013,-1.3497969035732988,0.7759610281585239,1.0473569658203437,3,C3 (Western Residual),241217.327,363562.323
wmc4,reference,4.835627549844662,1.8075818231791057,0.0871119166888179,0.2447358365999358,0.3068197801765594,0.009248645013334734,100,2.8640047721301665,-0.8359952278698337,0.30407049300212097,0.4095841361079302,3,C3 (Western Residual),241760.293,364180.707
l7,reference,4.408043373490505,2.6001354638463194,0.0841231298403377,0.2041347693983336,0.2569131205214627,0.009989162237343413,100,2.1021219716089634,-1.5978780283910368,0.24961550357125714,0.344511715716093,2,C2 (Dune),242812.0,364395.0
d5,reference,4.285436750690184,1.7911888706344443,0.0679022383081894,0.2904554021478305,0.3651054591212254,0.010342031016047498,100,3.1081199145721357,-0.5918800854278645,0.47339047075600077,0.6317370396128338,2,C2 (Dune),242083.407,363901.712
d6,reference,4.380748856077166,2.0680911268459665,0.0650598368180693,0.27176091245541045,0.3396366203470573,0.009521593626932041,100,3.122498706790303,-0.5775012932096972,0.45698183765534356,0.6122155758503603,2,C2 (Dune),242114.898,364021.851
d7,reference,4.447867770130217,1.3306416913870005,0.07650160957194,0.31375952163316584,0.3711169686907998,0.010621897325285286,100,3.2302394705231863,-0.4697605294768139,0.4485039227797661,0.5945044107863091,2,C2 (Dune),242610.75,364204.554
d8,reference,3.775086848828346,1.6803048804263976,0.0552941490623224,0.2624640300234782,0.33207616902316417,0.009076128047035347,100,3.2638843117057874,-0.43611568829421277,0.535742613750377,0.7098026212131803,2,C2 (Dune),242676.867,364024.231
d9,reference,4.321629190915337,2.152581329326481,0.0620692320734493,0.2561198040445742,0.32682192778149805,0.009165461333283435,100,3.132582220668141,-0.5674177793318593,0.4625731664102003,0.6157371836238765,2,C2 (Dune),242710.726,363910.68
d10,reference,4.129983531774249,2.0355094423610995,0.0577259583494872,0.25431900822517445,0.3223144279467897,0.008774078492114649,100,3.2387973692624064,-0.4612026307375938,0.49228220978015563,0.6552877173726451,2,C2 (Dune),242613.907,364118.797
d15,reference,4.369201807410211,2.0880465243617463,0.0610796590861814,0.25210767465514816,0.3181242758666322,0.008530163293825686,100,3.2951096697181677,-0.4048903302818325,0.4601830457845349,0.6126080227335494,2,C2 (Dune),241980.565,363895.719
d17,reference,4.31844268654765,1.443691292075887,0.070847442889609,0.32980146119262393,0.41289722072607693,0.01118134781340253,100,3.2727474454509737,-0.42725255454902644,0.516514442871714,0.6879377381602908,2,C2 (Dune),242446.951,363534.961
d25,reference,3.880606968644933,1.5606431916492975,0.0635964467877395,0.2480688417835964,0.3193783110926915,0.008786059420459989,100,3.056297321081541,-0.643702678918459,0.4222375812793357,0.5719495322649497,3,C3 (Western Residual),242215.187,363143.807
d38,reference,5.451647058521213,1.2869093703579793,0.1085485833941968,0.2931417872149313,0.354015813839454,0.010469623824970528,100,2.9586954180402905,-0.7413045819597097,0.2853692519141785,0.38559234538290915,2,C2 (Dune),242711.571,363069.196
d41,reference,3.968020631910152,1.3621749155217882,0.0655745719332681,0.2779951475067418,0.3423685495067545,0.009504508268198049,100,3.2201218478170683,-0.47987815218293184,0.4667308352135084,0.6216988385678294,2,C2 (Dune),242771.66,363342.853
t41a,reference,5.502194860756963,1.7125620570462463,0.0940481792445841,0.3563179332157744,0.43487021040426493,0.01184690190111869,100,3.212853719639625,-0.487146280360375,0.4047113207819683,0.5453460697596503,2,C2 (Dune),242709.928,363275.666
t41b,reference,3.974294175585594,1.309770946940939,0.0649439475366996,0.2805905134121147,0.34712701074075136,0.009495456718173674,100,3.3011556226737286,-0.39884437732627154,0.4826620728181106,0.639434028247182,2,C2 (Dune),242715.085,363309.565
t41c,reference,4.272534937053781,1.4555914392238876,0.0698310197840467,0.25932165735875595,0.31995380140960655,0.008812460614486619,100,3.2643589275345484,-0.4356410724654518,0.4119520890487981,0.5471248526081846,2,C2 (Dune),242721.13,363323.682
t41d,reference,3.974359755385662,1.5169707826951015,0.0669384047747446,0.27209741355473466,0.33618627242786564,0.009779900676825683,100,3.0384386145858877,-0.6615613854141125,0.4439249480664845,0.5938010716152003,2,C2 (Dune),242731.987,363353.284
d43,reference,4.5800305870203015,1.8455155803165624,0.0753671909105831,0.23782149541004313,0.2942854771401475,0.008499904742992115,100,3.0412615786468042,-0.6587384213531959,0.3429931964386075,0.45989144534678256,2,C2 (Dune),242664.714,363428.693
d44,reference,4.674529111054002,1.399838365395726,0.0877392163295046,0.3414842498782019,0.41689030574842195,0.012362727492887159,100,2.9591995379293428,-0.7408004620706574,0.4169603857311387,0.5611547896909729,2,C2 (Dune),242819.407,363279.547
nw8,extended,2.849083904626852,1.6800711492892346,0.051594172068945496,0.20263344847464737,0.2522913163266521,0.008411067231076845,115,2.215806165490175,-1.4841938345098251,0.3612286791629752,0.5260276825599564,5,C5 (Coastal Forest),241276.11,363480.129
nw8b,extended,3.2414217225068667,2.0033869794112515,0.059391955127283694,0.18589604836746176,0.24725875467525227,0.009635694796059623,126,2.1077062022940343,-1.592293797705966,0.3419522667934111,0.4645996211935654,3,C3 (Western Residual),241272.0,363487.0
ceh3,extended,1.938996902843671,-0.028547446518761958,0.0553557284244659,0.1382343662993313,0.16874871002683509,0.005733306400159927,235,2.5301605802204397,-1.1698394197795605,0.26205392397291294,0.355992929463078,5,C5 (Coastal Forest),240743.0,363388.0
ceh7,extended,3.571477285845557,2.095443118360566,0.04775021004763215,0.31970359535357257,0.4004841889099518,0.010478761544255413,117,3.0130421353040364,-0.6869578646959638,0.6612107051916686,0.9298084790731211,2,C2 (Dune),243385.803,363612.9
ceh8,extended,2.7845127839543595,1.9708056535796938,0.03219323886324426,0.1636800214204318,0.20361374622059944,0.005612048722614679,160,2.928103033720477,-0.771896966279523,0.5104381376437617,0.7109106068982836,2,C2 (Dune),243149.932,363382.305
ceh12,extended,4.002722673455533,1.3679155656182003,0.0849223133063565,0.3416904330799205,0.37215440478118933,0.012951792253004243,35,2.512091800766498,-1.1879081992335023,0.3831277064560093,0.532565232311318,2,C2 (Dune),240339.0,364588.0
ceh15,extended,2.7120969164463187,2.055517964000828,0.03610454431532469,0.20829870057414365,0.2744422898345732,0.008118444844911494,119,2.3429465411660724,-1.3570534588339278,0.5268334673582725,0.7813591843579015,4,C4 (Main Forest),240679.892,363754.368
ceh22,extended,2.691024285902909,0.4471336810986342,0.05631043574098878,0.12448834411716495,0.15153724751302633,0.004465318150428953,185,2.9927545791872667,-0.7072454208127334,0.2373201550720163,0.3189160125631375,2,C2 (Dune),241375.022,362906.94
ceh35,extended,3.229604014323077,0.7493282531868741,0.06584316098994,0.22772181786172047,0.31082149243671553,0.008822806869127411,58,2.900110742264773,-0.7998892577352272,0.38860705642600024,0.5243690473725171,2,C2 (Dune),241081.0,363212.0
ceh37,extended,4.624634832314985,1.583651203069559,0.07799408679770183,0.2596493082626632,0.33672992167654503,0.008621156086570657,133,3.1580428752141274,-0.5419571247858728,0.34907749642509583,0.48065804178933375,2,C2 (Dune),242886.0,363346.0
ceh38,extended,2.8256524786363846,0.7478070050535606,0.055510107066914886,0.2349222191836303,0.26433193762239765,0.008226688692654503,83,2.9214625833409977,-0.7785374166590024,0.432965534932454,0.5855592422676134,3,C3 (Western Residual),241130.0,363261.0
fe1,extended,2.5348554706188278,2.658565370274064,0.014063561874217803,0.17677740797543182,0.2475944858879739,0.0074328632755385066,125,2.836615750317866,-0.863384249682134,1.499206049358278,1.9821342494673913,4,C4 (Main Forest),241338.0,363744.0
fe2,extended,2.690235462404637,1.9143713962580358,0.04545273401961051,0.15833271979270552,0.21661741780913316,0.008902688115171128,125,1.9916680929709425,-1.7083319070290577,0.39010194310880963,0.5274638066462057,5,C5 (Coastal Forest),241135.0,363595.0
fe3,extended,2.6694831008666156,1.6961686609558662,0.060323119661336945,0.19358750246749348,0.24759193855719583,0.0122832689994801,105,1.6682658323208153,-2.031734167679185,0.339699904382962,0.46423039981016717,5,C5 (Coastal Forest),241104.1,363546.1
fe4,extended,2.6848270343040994,1.7511629567211286,0.04752944727418699,0.20982520444336716,0.2786026251454642,0.011101642962954121,97,2.078922040905629,-1.6210779590943711,0.48558213001741624,0.6574490370046091,5,C5 (Coastal Forest),241223.2,363692.4
lis1,extended,2.777387667720736,2.399157366324887,0.02566531170326836,0.26668732226484076,0.35827842652060354,0.01081876295625262,97,2.7664511281931796,-0.9335488718068206,1.1661490548804925,1.5687587658553717,4,C4 (Main Forest),241406.0,363720.0
p2,extended,4.070201069096024,-0.48662463837547676,0.09903778910773993,0.32724040875028837,0.412307217379818,0.0112831132186061,76,3.197444720803496,-0.5025552791965042,0.3642764152965198,0.48717579912324366,1,C1 (Lake Edge),242303.0,364558.0
pw,extended,3.792731349891088,1.375506526748392,0.07023341411134859,0.27898165250173673,0.3721603915238741,0.010987223478329974,76,2.8181089500707133,-0.8818910499292869,0.44086127966980915,0.5950977778443618,2,C2 (Dune),242056.0,363286.0
pe,extended,3.3176088995101525,1.6362937857219286,0.05058858631054804,0.24139533449014985,0.32796617568956793,0.009375510321143029,76,2.96755734968153,-0.73244265031847,0.5499731577737704,0.7330143849636472,3,C3 (Western Residual),242739.0,362823.0
p1,extended,2.907735260624641,1.1676974262681625,0.04310023159293435,0.32316847011686944,0.4282667297148581,0.011069316501560445,46,3.3812076509980806,-0.31879234900191955,0.8683864625110551,1.1487908177675998,3,C3 (Western Residual),241243.0,363283.0
