cluster_id,window_years,window_end_year,cluster_label,n_wells,MINw_m_bg_mean,MINw_m_bg_median,MINw_m_bg_std
2,5,2021,C2 (Dune),21,-1.0049523809523808,-0.93,0.2863610441715976
2,5,2022,C2 (Dune),21,-1.0112380952380953,-0.932,0.2872681508211282
2,5,2023,C2 (Dune),20,-1.0542,-0.988,0.2967060569158073
2,5,2024,C2 (Dune),21,-1.0027619047619047,-0.968,0.28240076217352966
2,5,2025,C2 (Dune),22,-0.9885454545454546,-0.91,0.33115105563023894
3,5,2011,C3 (Western Residual),8,-1.03425,-0.893,0.3987085401643661
3,5,2012,C3 (Western Residual),7,-1.1708571428571428,-1.058,0.3711133827513403
3,5,2013,C3 (Western Residual),8,-1.2825,-1.193,0.35360793462332174
3,5,2014,C3 (Western Residual),9,-1.298888888888889,-1.216,0.3309503151699831
3,5,2015,C3 (Western Residual),11,-1.2794545454545454,-1.242,0.3088586614088599
3,5,2016,C3 (Western Residual),12,-1.2939999999999998,-1.284,0.31879203822611946
3,5,2017,C3 (Western Residual),12,-1.2495,-1.221,0.2875149007996249
3,5,2018,C3 (Western Residual),15,-1.2758666666666667,-1.226,0.29222346309109476
3,5,2019,C3 (Western Residual),15,-1.2797333333333334,-1.26,0.28345306153795213
3,5,2020,C3 (Western Residual),18,-1.303,-1.2960000000000003,0.3283729945190556
3,5,2021,C3 (Western Residual),18,-1.2626666666666668,-1.246,0.3303908558768824
3,5,2022,C3 (Western Residual),18,-1.2481111111111112,-1.208,0.330695859717032
3,5,2023,C3 (Western Residual),18,-1.273777777777778,-1.2199999999999998,0.3292650560326483
3,5,2024,C3 (Western Residual),18,-1.24,-1.177,0.3258617534368543
3,5,2025,C3 (Western Residual),20,-1.1668,-1.0839999999999999,0.3179946374920247
4,5,2011,C4 (Main Forest),3,-1.4206666666666667,-1.46,0.06812733176437577
4,5,2012,C4 (Main Forest),1,-1.59,-1.59,
4,5,2013,C4 (Main Forest),1,-1.4832,-1.4832,
4,5,2014,C4 (Main Forest),2,-1.6484999999999999,-1.6484999999999999,0.17182694782833122
4,5,2015,C4 (Main Forest),3,-1.829,-1.7739999999999998,0.33490446398935925
4,5,2016,C4 (Main Forest),6,-1.9468333333333334,-2.027,0.3869927217231181
4,5,2017,C4 (Main Forest),6,-1.8195,-1.912,0.3804616932097107
4,5,2018,C4 (Main Forest),9,-1.712888888888889,-1.634,0.29789110612959074
4,5,2019,C4 (Main Forest),9,-1.8084444444444445,-1.7119999999999997,0.3002445299714514
4,5,2020,C4 (Main Forest),7,-1.979142857142857,-1.85,0.330072430723636
4,5,2021,C4 (Main Forest),8,-1.88225,-1.8289999999999997,0.3800232135766747
4,5,2022,C4 (Main Forest),8,-1.82425,-1.7800000000000002,0.3810428359871669
4,5,2023,C4 (Main Forest),9,-1.7486666666666666,-1.7420000000000002,0.3833040568530421
4,5,2024,C4 (Main Forest),9,-1.714222222222222,-1.716,0.38476024280640597
4,5,2025,C4 (Main Forest),10,-1.5564,-1.472,0.36479376212990394
5,5,2011,C5 (Coastal Forest),3,-1.015,-0.906,0.4095277768357111
5,5,2012,C5 (Coastal Forest),2,-0.9504999999999999,-0.9504999999999999,0.13505739520663035
5,5,2013,C5 (Coastal Forest),5,-1.3558,-1.15,0.522743914359603
5,5,2014,C5 (Coastal Forest),5,-1.4285999999999999,-1.224,0.5284778141038657
5,5,2015,C5 (Coastal Forest),6,-1.5338333333333332,-1.267,0.5073525073030257
5,5,2016,C5 (Coastal Forest),6,-1.5685000000000002,-1.2890000000000001,0.5116568185805795
5,5,2017,C5 (Coastal Forest),6,-1.5095,-1.233,0.5124223843666472
5,5,2018,C5 (Coastal Forest),6,-1.4961666666666666,-1.238,0.508774376975361
5,5,2019,C5 (Coastal Forest),6,-1.5481666666666667,-1.287,0.5076764389516878
5,5,2020,C5 (Coastal Forest),5,-1.4454,-1.312,0.3187346859066329
5,5,2021,C5 (Coastal Forest),6,-1.5648333333333333,-1.38,0.373160778574955
5,5,2022,C5 (Coastal Forest),7,-1.6715714285714287,-1.4440000000000002,0.45107052558066696
5,5,2023,C5 (Coastal Forest),7,-1.6727142857142856,-1.434,0.4510338916628896
5,5,2024,C5 (Coastal Forest),7,-1.6515714285714285,-1.402,0.44792255920819524
5,5,2025,C5 (Coastal Forest),8,-1.664875,-1.591,0.4957434352277685
