quadrat,piezo,window_end_year,msl5_pipeline_m,msl5_published_m,diff_m,datum_offset_m,resid_m
CEH9-1,CEH9,2012,-0.6140000000000001,-0.534,-0.08000000000000007,-0.08000000000000008,1.3877787807814457e-17
CEH9-1,CEH9,2013,-0.5993333333333333,-0.5193333333333332,-0.08000000000000007,-0.08000000000000008,1.3877787807814457e-17
CEH9-1,CEH9,2019,-0.5993333333333334,-0.5193333333333332,-0.08000000000000018,-0.08000000000000008,-9.71445146547012e-17
CEH9-10,CEH9,2011,-0.3826666666666666,-0.2946666666666666,-0.08800000000000002,-0.08800000000000009,6.938893903907228e-17
CEH9-10,CEH9,2012,-0.6140000000000001,-0.526,-0.08800000000000008,-0.08800000000000009,1.3877787807814457e-17
CEH9-10,CEH9,2013,-0.5993333333333333,-0.5113333333333332,-0.08800000000000008,-0.08800000000000009,1.3877787807814457e-17
CEH9-10,CEH9,2019,-0.5993333333333334,-0.5113333333333332,-0.08800000000000019,-0.08800000000000009,-9.71445146547012e-17
CEH9-2,CEH9,2011,-0.3826666666666666,-0.16566666666666702,-0.21699999999999958,-0.21699999999999964,5.551115123125783e-17
CEH9-2,CEH9,2012,-0.6140000000000001,-0.39700000000000035,-0.21699999999999975,-0.21699999999999964,-1.1102230246251565e-16
CEH9-2,CEH9,2013,-0.5993333333333333,-0.38233333333333375,-0.21699999999999953,-0.21699999999999964,1.1102230246251565e-16
CEH9-2,CEH9,2019,-0.5993333333333334,-0.38233333333333375,-0.21699999999999964,-0.21699999999999964,0.0
CEH9-3,CEH9,2011,-0.3826666666666666,0.0013333333333327758,-0.3839999999999994,-0.38399999999999945,5.551115123125783e-17
CEH9-3,CEH9,2012,-0.6140000000000001,-0.2300000000000005,-0.38399999999999956,-0.38399999999999945,-1.1102230246251565e-16
CEH9-3,CEH9,2013,-0.5993333333333333,-0.21533333333333388,-0.3839999999999994,-0.38399999999999945,5.551115123125783e-17
CEH9-3,CEH9,2019,-0.5993333333333334,-0.2153333333333339,-0.38399999999999945,-0.38399999999999945,0.0
CEH9-4,CEH9,2011,-0.3826666666666666,0.020333333333332915,-0.4029999999999995,-0.4029999999999996,5.551115123125783e-17
CEH9-4,CEH9,2012,-0.6140000000000001,-0.21100000000000038,-0.4029999999999997,-0.4029999999999996,-1.1102230246251565e-16
CEH9-4,CEH9,2013,-0.5993333333333333,-0.19633333333333375,-0.4029999999999995,-0.4029999999999996,5.551115123125783e-17
