well,network,cluster_id,cluster_label,n_springs,n_msl5_windows,n_obs_ssm,spring_sd_mm,rho_lag1,rho_ar1_expected,t_R_months,beta_2,beta_3,se_beta_3,rel_se_beta_3,msl5_window_se_mm,msl5_window_spread_mm,ewi_se_mm_beta3,ewi_se_mm_full,ewi_over_msl5_se_beta3
ceh27,reference,1,C1 (Lake Edge),15,11,100,219.95983279300802,-0.05646167173343591,0.30719383504369446,10.16711047321748,0.7684816680918257,0.0983563621772608,0.009126903537699871,0.09279423654619404,98.36902768893067,249.33333333333331,302.5616369905736,405.9515624860314,3.075781514760468
ceh28,reference,2,C2 (Dune),13,5,100,272.8095878540034,-0.11596814151052592,0.391922924906745,12.811067687584956,1.5441012816685753,0.0780575065549835,0.010088902629200537,0.12924961447614192,122.0041566710505,206.6666666666667,394.4884288370044,542.7552324511797,3.2334015463147723
ceh30,reference,4,C4 (Main Forest),15,11,100,381.30200226489364,-0.07488293102145062,0.7280412805826422,37.80747778479167,2.0620726214518035,0.0264497940246693,0.010673460980384951,0.40353663890274477,170.5234394042162,318.66666666666663,821.0781087415431,1079.8111835791728,4.815045436628942
ceh31,reference,5,C5 (Coastal Forest),15,11,100,281.7496355682774,-0.1485188444203382,0.6172364995161818,24.870310502547998,1.3374600342552283,0.0402085852485657,0.012168989017076663,0.302646535356793,126.00226755329217,193.33333333333314,630.0444565175404,839.2815467800285,5.0002628425005575
ceh32,reference,4,C4 (Main Forest),15,11,100,486.9816332379601,0.027017784762984196,0.8227806960213248,61.51777175397468,2.480630597735461,0.0162554652336768,0.012289153903269973,0.7560013648708291,217.78480714278996,455.33333333333337,1658.0069454349073,2129.8641664849347,7.613051466661033
ceh33,reference,4,C4 (Main Forest),15,11,100,410.97342181600186,-0.014639904332399112,0.7623202953458313,44.217057976182275,2.1246627502320115,0.0226157063760021,0.011112534335272418,0.49136357496505667,183.79290162525504,361.33333333333326,1014.0188943100214,1322.7100797447483,5.51718203120574
ceh34,reference,4,C4 (Main Forest),15,11,100,461.2489371376176,-0.019732098796076358,0.8934639500467105,106.52530323874706,2.581174586167569,0.0093874410078775,0.007594939598368093,0.8090532437961289,206.27679559784804,424.66666666666663,2573.7739060842573,3225.5894971406133,12.477282762827192
ceh36,reference,3,C3 (Western Residual),15,11,100,297.18999320887644,-0.2361326373754236,0.5448054486140255,19.758728697283065,0.8835347899674448,0.0506105435891483,0.0072992334812188525,0.14422357405352831,132.9074054095497,252.53333333333333,429.49141421712983,566.2689846379324,3.231508529518475
ceh39,reference,3,C3 (Western Residual),13,8,100,267.50973953772177,-0.44047646804478097,0.6686594005475335,29.815111590945367,2.044342770961737,0.0335400388138642,0.007185770185442607,0.2142445399458595,119.6339924499218,212.62295081967213,681.1171474291448,893.6030988046988,5.693341277682904
ceh40,reference,3,C3 (Western Residual),11,7,100,,,0.6403665730618984,26.923064209462716,1.6460124149561095,0.0371428746824638,0.009103941566032638,0.24510600334149327,,148.66666666666666,748.5700779037492,989.0066145957409,
ceh41,reference,3,C3 (Western Residual),11,7,100,,,0.6389829402315661,26.793039157888586,2.0771007542968807,0.0373231268803477,0.008310704342018289,0.2226690268653307,,204.00000000000003,704.6930802112738,934.5844529149155,
ceh42,reference,3,C3 (Western Residual),11,7,100,,,0.5373000820652521,19.317495855574084,1.1973139336403142,0.0517665440425835,0.008349021857544745,0.16128219513121805,,295.33333333333337,515.4604238626397,681.4961597026078,
wmc1,reference,2,C2 (Dune),17,13,100,238.60569930025162,-0.1540843258295288,0.49713219361966093,17.169855388584647,1.5506979451083138,0.0582416087595501,0.009251114058620447,0.15884029056981547,106.70771269084732,215.99999999999991,489.13507725385256,651.9127036450975,4.583877443526229
wmc2,reference,3,C3 (Western Residual),17,13,100,368.9580497612976,-0.20314467443443893,0.5659081738337866,21.077649233082358,1.7583924081972346,0.0474436209152989,0.007773069676345084,0.1638380361023107,165.0030560224023,304.8666666666668,498.52573722856454,660.4204704913778,3.021312145642201
wmc3,reference,3,C3 (Western Residual),15,9,100,286.04768907173576,-0.2708058322650249,0.6598669810041625,28.865790340749015,1.7953965268286134,0.0346430840172884,0.009949052655349407,0.28718726803838823,127.92441551422498,265.3333333333334,685.088734504792,922.9327241323494,5.355418133050694
wmc4,reference,3,C3 (Western Residual),14,10,100,324.6600551409912,-0.30670338563932387,0.34403732526082026,11.246431466917409,1.7024983656725978,0.0889170936524717,0.008908417811217439,0.10018791039252331,145.19239057481727,209.33333333333348,287.4879169483313,387.7329275652129,1.9800480990096345
l7,reference,2,C2 (Dune),16,12,100,293.4689553901362,-0.15526508035900646,0.3594935462263966,11.729528175646434,2.530785429885345,0.0852549211720435,0.009124924426811959,0.10703105816493526,131.24330670763956,292.00000000000006,222.18522208127928,309.3407038255643,1.6929261206152317
