well,E,N,cluster,network,dem,depth_bg,h_0_m,coeff_source,horizon_n,alpha,S_P_mm,S_E_mm,lambda,pflood_mm,exceeds_mean,unreachable
nw12,241262.0,364524.0,4,Extended,13.72,1.3350000000000009,-1.3350000000000009,cluster,5,0.9816789111494137,445.26138813584873,129.43855409947463,1.6958644626946735,786.8827257993405,True,False
ceh3,240743.0,363388.0,5,Extended,4.362,1.1320000000000006,-1.1320000000000006,cluster,5,0.9558277893358155,420.00890205180997,121.36891904339033,1.7782666816006198,825.1174338500033,True,False
ceh7,243385.803,363612.9,2,Extended,5.379,0.7647154471544724,-0.7647154471544724,cluster,4,0.9359296648942627,361.3550278837336,102.19690233168187,1.1336661086456623,454.27728464644855,True,False
ceh8,243149.932,363382.305,2,Extended,5.494,0.6599999999999993,-0.6599999999999993,cluster,4,0.9359296648942627,361.3550278837336,102.19690233168187,1.0777066813969154,431.85348943279376,True,False
ceh12,240339.0,364588.0,2,Extended,34.879,1.4866666666666646,-1.4866666666666646,cluster,4,0.9359296648942627,361.3550278837336,102.19690233168187,1.5194733399879452,608.876121212636,True,False
ceh15,240679.892,363754.368,4,Extended,5.865,1.2472327868852453,-1.2472327868852453,cluster,5,0.9816789111494137,445.26138813584873,129.43855409947463,1.6236154023270695,753.3590929801433,True,False
ceh22,241375.022,362906.94,2,Extended,3.231,0.7305182926829263,-0.7305182926829263,cluster,4,0.9359296648942627,361.3550278837336,102.19690233168187,1.1153913151002393,446.95429639975305,True,False
ceh35,241081.0,363212.0,2,Extended,4.35,0.8980000000000001,-0.8980000000000001,cluster,4,0.9359296648942627,361.3550278837336,102.19690233168187,1.2048927274590109,482.8188761629583,True,False
ceh37,242886.0,363346.0,2,Extended,6.02,0.944,-0.944,cluster,4,0.9359296648942627,361.3550278837336,102.19690233168187,1.2294749044289957,492.669329060385,True,False
ceh38,241130.0,363261.0,3,Extended,4.465,0.9385714285714286,-0.9385714285714286,cluster,5,0.9434332840895151,408.38081520412777,117.67447396358133,1.2689574850096839,588.7974815754313,True,False
l1,242804.097,364389.095,2,Extended,10.062,1.5199999999999996,-1.5199999999999996,cluster,4,0.9359296648942627,361.3550278837336,102.19690233168187,1.5372865117053265,616.0141305585978,True,False
fe1,241338.0,363744.0,4,Extended,8.7,1.087272727272727,-1.087272727272727,cluster,5,0.9816789111494137,445.26138813584873,129.43855409947463,1.4919379388050173,692.2606244988029,True,False
fe2,241135.0,363595.0,5,Extended,8.54,1.9081818181818173,-1.9081818181818173,cluster,5,0.9558277893358155,420.00890205180997,121.36891904339033,2.3866959338369105,1107.4291863440728,True,False
fe3,241104.1,363546.1,5,Extended,7.54,2.242222222222222,-2.242222222222222,cluster,5,0.9558277893358155,420.00890205180997,121.36891904339033,2.6485417391446093,1228.9258893838025,True,False
fe4,241223.2,363692.4,5,Extended,9.13,1.8487500000000008,-1.8487500000000008,cluster,5,0.9558277893358155,420.00890205180997,121.36891904339033,2.3401088380709854,1085.8127295400209,True,False
lis1,241406.0,363720.0,4,Extended,8.55,1.1675000000000004,-1.1675000000000004,cluster,5,0.9816789111494137,445.26138813584873,129.43855409947463,1.5579801983766222,722.9042958374176,True,False
p2,242303.0,364558.0,1,Extended,9.0,0.6699999999999999,-0.6699999999999999,cluster,4,0.9119625269193026,347.51021060688095,97.5255697898108,1.0674796992809412,427.75538185919544,True,False
pw,242056.0,363286.0,2,Extended,6.88,1.1428571428571423,-1.1428571428571423,cluster,4,0.9359296648942627,361.3550278837336,102.19690233168187,1.3357431974172524,535.2526533871488,True,False
pe,242739.0,362823.0,3,Extended,5.15,1.0442857142857145,-1.0442857142857145,cluster,5,0.9434332840895151,408.38081520412777,117.67447396358133,1.3230992803329888,613.9193261690594,True,False
