level,Cluster,Cluster_Label,well,fit_basis,n,fit_start,fit_end,beta_3_A,pvalue_beta_3_A,t_half_A_months,R2_A,alpha_B,pvalue_alpha_B,beta_1_B,beta_2_B,beta_3_B,pvalue_beta_3_B,t_efold_B_months,t_half_B_months,R2_B,drainage_datum_m,ratio_t_half_A_over_B,note
well,3,C3 (Western Residual),ceh42,comparison_window,100,2017-11,2026-02,0.05176654404258359,1.3757816494432913e-08,13.389867787769582,0.6976302439595436,0.36017640514365745,0.007585306492405436,2.788746648993465,1.8760169128366984,0.14102655005511655,6.345848973151223e-05,7.090863384300162,4.915011962563409,0.7185292957879827,3.7,2.7242797962156207,
well,2,C2 (Dune),WMC1,comparison_window,100,2017-11,2026-02,0.05824160875955017,8.90635529539675e-09,11.901236853219416,0.7245910542378913,0.4882928591998315,0.0014226153907815526,3.0128359344833235,2.4611743550996525,0.18050864143608095,8.032277766416283e-06,5.539900982270177,3.8399667464418448,0.7519289316558503,3.7,3.099307269847384,
well,3,C3 (Western Residual),WMC2,comparison_window,100,2017-11,2026-02,0.04744362091529891,2.1332233056659897e-08,14.609913138742526,0.7768497154882511,0.21579989979306427,0.04568878001686289,3.010572342592776,2.1757629413440247,0.10203903309254417,0.00044117372193191686,9.800171264785028,6.792961081190335,0.7853035820564015,3.7,2.1507429476075286,
well,3,C3 (Western Residual),wmc3,comparison_window,100,2017-06,2026-02,0.03464308401728843,0.0007478088770826552,20.00824118932466,0.6639924860799034,0.1898896379307402,0.057035450689707376,2.184507091981552,2.1536505964346384,0.0938882846258039,0.004516743118643326,10.650956122859697,7.382680206827885,0.6757610617426062,3.7,2.7101595394610216,
well,3,C3 (Western Residual),wmc4,comparison_window,100,2017-11,2026-02,0.08891709365247175,1.4717086642079023e-16,7.795432262654448,0.8296948728486423,0.19336566763113558,0.13198844522563366,4.507773731385725,2.1773396227013664,0.13718665770221833,6.943573028279246e-05,7.289338604419035,5.052584501799821,0.8333474221341498,3.7,1.542860344023455,
well,2,C2 (Dune),L7,comparison_window,100,2017-11,2026-02,0.08525492117204352,3.517065197228368e-15,8.130289384247764,0.8698667676495846,0.2102917168328606,0.010491780055373684,3.86252238034477,3.21510159818308,0.14769916206158165,8.867520058915751e-08,6.770519114949753,4.692966235454637,0.8782627447120706,3.7,1.732441482920691,
well,2,C2 (Dune),D5,comparison_window,100,2017-11,2026-02,0.07071615882559354,1.6927911394968092e-10,9.801821706258767,0.7427973815474807,0.4918699857622384,0.002556555702500298,3.565079315006692,2.704664251872291,0.1896225204658908,5.921508025235608e-06,5.273635207163484,3.655405375147032,0.7657570536119288,3.7,2.681459564758808,
well,2,C2 (Dune),D6,comparison_window,100,2017-11,2026-02,0.06719526646914023,7.035020750074069e-12,10.315416799162136,0.7979583619405446,0.4905718845173197,0.0005211600924811308,3.6195403558407824,3.0937764668086896,0.18288297311028162,3.0784557449000595e-07,5.467977597876116,3.790113255332772,0.8215468469959913,3.7,2.7216645266861406,
well,2,C2 (Dune),D7,comparison_window,100,2016-08,2026-02,0.07598791070080456,6.440329780973367e-13,9.121808642550377,0.762004218644728,0.6354412495378357,8.797212241700876e-06,4.039490858192057,2.9932953745646342,0.2350420465089782,1.1718448976751695e-09,4.254557917839614,2.94903482527952,0.8062894224484616,3.7,3.0931505333056823,
well,2,C2 (Dune),D8,comparison_window,100,2017-11,2026-02,0.05675018355975307,2.047956682515214e-09,12.214007727924278,0.7463496790086712,0.4966482071617489,0.0013720766168487247,3.12049613066785,2.486867567077964,0.1759554725175029,7.220328088662925e-06,5.683256028882685,3.939332892820344,0.771677321752904,3.7,3.100526931903875,
