ref_depth,Cluster,Cluster_Label,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_1,pvalue_beta_2,pvalue_beta_3,R2,AIC,beta_3_positive,beta_3_sig
2.5,4,C4 (Main Forest),2.379355806092639,2.6627165799386905,0.02532482088131937,8.98207720107335e-57,1.9608631567717594e-42,0.003684894015788989,0.7197457992070904,-1135.749023450316,True,True
2.5,5,C5 (Coastal Forest),2.263032187994721,1.4804658459903666,0.06580514536754987,1.1687712342626554e-55,5.56928175982495e-22,6.712367763458166e-16,0.6779468714469228,-1199.8267396487888,True,True
2.6,1,C1 (Lake Edge),4.540746499845771,1.1348857790447282,0.12646369613603725,9.47003638205189e-72,4.0430245524019806e-08,6.478946776463976e-40,0.7531036365507227,-1022.1880307846668,True,True
2.6,2,C2 (Dune),3.907961646983394,1.884330716670004,0.0926878636451138,2.414327177527826e-73,4.1471183012408056e-21,9.779832146283205e-29,0.7596569414254766,-1113.2498438280381,True,True
2.6,3,C3 (Western Residual),3.4642140437598776,1.9605228009894888,0.0818964107187891,1.5461156721681775e-86,1.9564576968628263e-32,4.481502639039254e-30,0.8160480335068482,-1244.0216080484447,True,True
2.6,4,C4 (Main Forest),2.3915387706492726,2.649458312149131,0.024760638112922513,3.658479873477242e-56,1.5521645854376e-41,0.0032377941400496,0.7200282630602296,-1135.9880125236803,True,True
2.6,5,C5 (Coastal Forest),2.2857369703992347,1.4523516389608049,0.06370236549552136,1.2667124175857035e-55,4.8096072763049464e-21,4.353370805252751e-16,0.6791116523655127,-1200.6927063173257,True,True
2.7,1,C1 (Lake Edge),4.546888736082966,1.1070658606160586,0.12182576293423096,3.3009966881820524e-71,1.1136587860968645e-07,2.024975160737854e-39,0.750696322658195,-1019.8884023206904,True,True
2.7,2,C2 (Dune),3.917557523213696,1.864785916283232,0.08922338929419672,6.933567187667856e-73,1.78771989821922e-20,2.0068326626407647e-28,0.7582511105111476,-1111.8034514690025,True,True
2.7,3,C3 (Western Residual),3.4794289422338878,1.9394626904806365,0.07888555090333373,3.0526753799922798e-86,1.4125230011043561e-31,5.4086867597083745e-30,0.8157681898919433,-1243.6430955883206,True,True
2.7,4,C4 (Main Forest),2.402814707548974,2.637367424261521,0.024170468869241776,1.3944369912382598e-55,1.010806035803327e-40,0.002891226055873974,0.7202757410652483,-1136.1975987685137,True,True
2.7,5,C5 (Coastal Forest),2.306182563255377,1.4269775644621345,0.06164193374808696,1.4532695445998524e-55,3.298342290843138e-20,3.062529312534852e-16,0.6800548096650822,-1201.3962111871494,True,True
2.8,1,C1 (Lake Edge),4.55225153128461,1.081540411364407,0.11749515112232269,1.072278450076103e-70,2.731733515270145e-07,5.912940255076041e-39,0.7484114010583148,-1017.7261402891498,True,True
2.8,2,C2 (Dune),3.9260915817765665,1.8470436141623838,0.08598350825823893,1.8971682758041852e-72,6.699642376427888e-20,3.986419524871674e-28,0.756901256739311,-1110.4225450656888,True,True
2.8,3,C3 (Western Residual),3.4931681757595925,1.9203539421145173,0.07605716338100332,5.98506281389758e-86,8.53251933735741e-31,6.668536468826408e-30,0.8154560858886071,-1243.2216257882149,True,True
2.8,4,C4 (Main Forest),2.4132291728037085,2.626357560479547,0.023566072961815322,4.942719458072456e-55,5.51150096730307e-40,0.002618942608668151,0.7204921364186693,-1136.3810134875744,True,True
2.8,5,C5 (Coastal Forest),2.3245970320778806,1.4040733680737898,0.05963810202126432,1.74162985359829e-55,1.8433021534300237e-19,2.3088386219881854e-16,0.6808104534796898,-1201.9613469728454,True,True
2.9,1,C1 (Lake Edge),4.556939084307213,1.0580607789529073,0.11344399370338626,3.2624471840459327e-70,6.067911020736258e-07,1.6216995116346435e-38,0.7462411147838235,-1015.6904677055245,True,True
2.9,2,C2 (Dune),3.9336975139106585,1.8308979843271471,0.08294925254494673,4.954708899773314e-72,2.2202893368889195e-19,7.674208204896824e-28,0.7556061718300122,-1109.1048560097847,True,True
2.9,3,C3 (Western Residual),3.5056063536395183,1.9029729911440714,0.07339846178648009,1.1603515463218385e-85,4.399121129632118e-30,8.35019169702995e-30,0.8151203132210038,-1242.7689886689034,True,True
