Name_Original,Cluster,basis,window_months,n,fit_start,fit_end,beta_1_recharge,pvalue_beta_1,beta_2_atmospheric_draw,pvalue_beta_2,beta_3_drainage,se_beta_3,pvalue_beta_3,R2,LCSC_percent,beta_3_significant_positive
ceh26,1,comparison_window,100,100,2017-10,2026-02,4.298379745334756,4.701550026665986e-27,0.5555590007167002,0.10509413402748145,0.0865543713468947,0.009580014791870733,1.6261207158576424e-14,0.7138678644777992,23.26458012662444,True
ceh27,1,full_record,,190,2010-04,2026-02,4.6326362426721035,1.1727296349322954e-53,0.97930068249547,0.00013718283495885237,0.08728289281873952,0.006813464960875195,2.2224278401929066e-27,0.7324890988858653,21.58598145023362,True
ceh27,1,comparison_window,100,100,2017-10,2026-02,5.095163191947254,1.7640178521620917e-31,0.8159524653707401,0.021729020955187084,0.09818242204089021,0.009603373332859003,4.410538623436847e-17,0.7685586399888136,19.626456745889293,True
ceh28,2,full_record,,163,2010-04,2026-02,4.2053606130694705,6.850593588233918e-41,1.5494432910195093,2.3026237060128706e-07,0.0706366676349782,0.007771743964739036,3.67492092845783e-16,0.7017853541866139,23.779173583644358,True
ceh28,2,comparison_window,100,100,2015-08,2026-02,4.215784916615933,2.318402940751502e-23,1.418505095223426,0.0009964709871991134,0.07187063581157661,0.011276131017331536,6.2263353290251175e-09,0.6728822703261832,23.72037520364567,True
ceh30,4,full_record,,187,2010-07,2026-02,2.404457346687494,2.6538594430103586e-39,2.0583223882613937,2.0476603305567717e-21,0.03350389539916423,0.008103536639191198,5.40114240011431e-05,0.6868757369852954,41.58942562976433,True
ceh30,4,comparison_window,100,100,2017-10,2026-02,2.30527241004817,1.1454243433263154e-20,2.1305499422632335,2.0382893439236453e-12,0.023885617087113512,0.011343322023436377,0.037813209817683324,0.6984803992382529,43.3788213332716,True
ceh31,5,full_record,,184,2010-07,2026-02,2.3902016244973225,2.409944288353261e-35,1.3015120188944307,2.1325441561988621e-10,0.05016566685312668,0.007996741317801995,2.5336959266503366e-09,0.6259503706310798,41.83747470300994,True
ceh31,5,comparison_window,100,100,2017-08,2026-02,2.1514593529501465,6.062935254555283e-15,1.2910342511360757,2.8125464108098594e-05,0.03939237621000269,0.012525475626726667,0.0022051144538034356,0.5505436435997985,46.4800786790961,True
Ceh32,4,full_record,,185,2010-08,2026-02,2.3874210253060215,2.5835411653223436e-36,2.453049978875516,4.327454076488222e-24,0.021070878446748688,0.00859465821892481,0.015165218351481973,0.6758027803811777,41.88620228272553,True
