ref_depth,Cluster,Cluster_Label,beta_2_atmospheric_draw,beta_3_drainage,mean_h_prev_m,mean_PET_m_month,h_disp_prev_mean_m,drainage_flux_m_month,et_flux_m_month,drainage_share_pct,all_beta3_pos_sig
2.1,5,C5 (Coastal Forest),1.6377717585653582,0.07353402638140219,-1.1527,0.0549,0.9473,0.06965894090721746,0.0899151453763587,43.653040747122205,True
2.2,1,C1 (Lake Edge),1.291360294052052,0.14816559243927155,-0.3836,0.0551,1.8164,0.26913156063176125,0.07114094017386365,79.09295050130962,True
2.2,2,C2 (Dune),1.9932159396570652,0.10862318986540404,-0.5357,0.0547,1.6643,0.18078666718110636,0.10899101809731153,62.38805690210647,True
2.2,3,C3 (Western Residual),2.08120060752808,0.09527847660260563,-0.7722,0.0548,1.4278,0.13603716343224964,0.11395845018321085,54.415820127748304,True
2.2,4,C4 (Main Forest),2.71991287474491,0.026003444110736032,-1.3185,0.0551,0.8815,0.022921876129115677,0.14983979296218755,13.267917732955938,True
2.2,5,C5 (Coastal Forest),1.5960197170006811,0.07159106360202842,-1.1527,0.0549,1.0473,0.0749774744592441,0.0876229206708013,46.11149585416335,True
2.3,1,C1 (Lake Edge),1.2513756513479255,0.14198543340937356,-0.3836,0.0551,1.9164,0.272104313846353,0.0689381892548603,79.78604173146094,True
2.3,2,C2 (Dune),1.9638602741725943,0.10407786452215659,-0.5357,0.0547,1.7643,0.18362945557832341,0.1073858212872624,63.09959310594481,True
2.3,3,C3 (Western Residual),2.0494642576007704,0.09146524251384469,-0.7722,0.0548,1.5278,0.13973920990192268,0.11222069110361697,55.46089252466023,True
2.3,4,C4 (Main Forest),2.702837290227282,0.025666324598592482,-1.3185,0.0551,0.9815,0.02519133981144087,0.1488991003125858,14.47026028166388,True
2.3,5,C5 (Coastal Forest),1.558089212146337,0.06954830886973128,-1.1527,0.0549,1.1473,0.07979292393377274,0.08554050177430954,48.26182218873124,True
2.4,1,C1 (Lake Edge),1.2151188242121207,0.13625890937366808,-0.3836,0.0551,2.0164,0.27475575581353817,0.06694080341138753,80.40928373313733,True
2.4,2,C2 (Dune),1.93749687691006,0.09984796357301243,-0.5357,0.0547,1.8643,0.1861512393920091,0.10594424466178054,63.729584863328185,True
2.4,3,C3 (Western Residual),2.020953133064924,0.0878789379583863,-0.7722,0.0548,1.6278,0.1430480020054265,0.11065953282154985,56.383032574488766,True
2.4,4,C4 (Main Forest),2.687079874750245,0.025244427326221973,-1.3185,0.0551,1.0815,0.027301692964817728,0.14803102549496142,15.57136238156295,True
2.4,5,C5 (Coastal Forest),1.523738556284297,0.06745740399787344,-1.1527,0.0549,1.2473,0.08413976468949529,0.08365461981337369,50.144565289702314,True
2.5,1,C1 (Lake Edge),1.18214187611588,0.13094169451972865,-0.3836,0.0551,2.1164,0.2771281648115893,0.06512410585421709,80.9718995501398,True
2.5,2,C2 (Dune),1.9137560697112053,0.09590682714953394,-0.5357,0.0547,1.9643,0.18839427671099965,0.10464607385370425,64.28953430746112,True
