well,Cluster,Cluster_Label,upstand_m,optimal_datum_primary,beta_1_at_primary,beta_2_at_primary,beta_3_at_primary,pvalue_beta_3_primary,R2_at_primary,optimal_datum_secondary,beta_3_at_secondary,pvalue_beta_3_secondary,R2_at_secondary,max_R2_datum,R2_at_max,beta_1_at_max,beta_2_at_max,beta_3_at_max,pvalue_beta_3_at_max,beta_3_positive_at_max,R2_at_uniform,beta_3_at_uniform,R2_gain_max_vs_uniform
d5,2,C2 (Dune),0.1,0.5,2.8982813218579033,3.743787925670949,0.24054844163366973,1.1525195076143532e-10,0.7472665101749993,0.5,0.24054844163366973,1.1525195076143532e-10,0.7472665101749993,1.0,0.7596717135528834,3.5248851456646424,2.9090245833285566,0.1972682341759346,9.628225277361493e-12,True,0.7309074645460997,0.06790223830818942,0.02876424900678376
d6,2,C2 (Dune),0.05,0.5,3.083948124268548,3.96049203107835,0.23009358735984392,1.6606350921256968e-12,0.794958507947594,0.5,0.23009358735984392,1.6606350921256968e-12,0.794958507947594,0.9,0.8012250562920893,3.573599517968264,3.2938549554346337,0.1953474052004245,3.608510080483208e-13,True,0.7680031251451944,0.06505983681806934,0.03322193114689487
d7,2,C2 (Dune),0.1,0.5,3.0950640951638406,3.578500714418354,0.30148505131405157,1.3920587514155084e-14,0.7552305079289131,0.5,0.30148505131405157,1.3920587514155084e-14,0.7552305079289131,0.8,0.7629030264869883,3.5652670496610357,2.9074318490602704,0.26340645331151785,2.919284661379807e-15,True,0.7053740791763132,0.07650160957194005,0.05752894731067504
d8,2,C2 (Dune),0.05,0.5,2.7829163828672034,3.0609254878988583,0.2124527031742781,1.1236121422466018e-10,0.7566845756312576,0.5,0.2124527031742781,1.1236121422466018e-10,0.7566845756312576,0.8,0.7609266691428871,3.1092438538515155,2.629487326215518,0.18415732146874267,4.7162186036875735e-11,True,0.7292210216194017,0.05529414906232245,0.03170564752348537
d9,2,C2 (Dune),0.02,0.5,3.0204870626170637,3.8373760539518016,0.1818788463394857,7.1923856133407115e-09,0.7787473360296092,0.5,0.1818788463394857,7.1923856133407115e-09,0.7787473360296092,1.5,0.799642164250233,3.8741554067505355,2.7497534159267194,0.13210400991287502,5.313255949478707e-11,True,0.7874766860739991,0.06206923207344936,0.012165478176233924
d10,2,C2 (Dune),0.04,0.5,3.0446238450480645,3.5230954148375346,0.2071727947825036,1.4965579940382126e-11,0.7977191537184937,0.5,0.2071727947825036,1.4965579940382126e-11,0.7977191537184937,0.9,0.8020962510052327,3.461975200640267,2.973147236223947,0.1726512259886851,5.093608398753331e-12,True,0.7758105153759292,0.05772595834948723,0.026285735629303586
d15,2,C2 (Dune),0.15,0.5,3.2563116843880517,3.627949328767079,0.19264200853033986,1.0379713163147734e-11,0.8062904016709076,0.5,0.19264200853033986,1.0379713163147734e-11,0.8062904016709076,1.1,0.8146422265163974,3.798250952593095,2.9078340599652197,0.15275057986104815,1.1853996976204623e-12,True,0.7953605123386451,0.06107965908618142,0.019281714177752263
d17,2,C2 (Dune),0.05,0.5,3.102679157525893,3.2469024534195947,0.25891665784389417,4.730862963565814e-11,0.7053301319036576,0.5,0.25891665784389417,4.730862963565814e-11,0.7053301319036576,0.8,0.709602527514013,3.487932115566055,2.7151065665342236,0.22432494947463405,2.3019535630474883e-11,True,0.6736501776195278,0.07084744288960906,0.03595234989448515
d25,3,C3 (Western Residual),0.05,0.5,2.6448661252811427,3.368230354758458,0.17668937908258348,5.210147951289556e-09,0.7336007560572309,0.5,0.17668937908258348,5.210147951289556e-09,0.7336007560572309,1.6,0.7709395807297953,3.541181958977102,2.131671946711234,0.13198707580842073,3.0019284640476556e-12,True,0.7537052434458834,0.0635964467877395,0.017234337283911882
d38,2,C2 (Dune),0.11,0.5,3.233791292605281,4.734079863244121,0.3104697854065772,5.360455270812192e-14,0.7580766237988458,0.5,0.3104697854065772,5.360455270812192e-14,0.7580766237988458,1.6,0.8156945901275634,4.782335585823172,2.507435352952421,0.22138888336894882,8.807212899516788e-20,True,0.7937497284905292,0.10854858339419685,0.02194486163703424
d41,2,C2 (Dune),0.08,0.5,2.8645976154961375,3.2023732092009487,0.2623678826809511,7.075885859525829e-14,0.7597291081168904,0.5,0.2623678826809511,7.075885859525829e-14,0.7597291081168904,0.7,0.7621528223834106,3.1337415878301815,2.8064241293697214,0.23633241128791282,4.301119803394569e-14,True,0.7119459246067205,0.06557457193326811,0.050206897776690185
t41a,2,C2 (Dune),0.4,0.5,3.804942160750547,4.3409190669592626,0.25949217710414413,2.9346899254309e-12,0.7338983508569996,0.5,0.25949217710414413,2.9346899254309e-12,0.7338983508569996,1.3,0.7541932267294887,4.753450842909027,2.9827535405582903,0.2017894929624927,5.939913273937549e-14,True,0.7327578601489133,0.0940481792445841,0.021435366580575432
t41b,2,C2 (Dune),0.0,0.5,2.9293372356988714,3.01696135521242,0.25563444863064033,3.6505997766801245e-13,0.7500219031361925,0.5,0.25563444863064033,3.6505997766801245e-13,0.7500219031361925,0.7,0.7524293280177792,3.183177202286839,2.6465398106612676,0.2297417429224472,2.268850775101982e-13,True,0.7084941958663291,0.06494394753669967,0.04393513215145006
t41c,2,C2 (Dune),0.09,0.5,3.0890750231069948,3.3521309465844817,0.25467987207563153,7.023949734020556e-15,0.7948467776878216,0.5,0.25467987207563153,7.023949734020556e-15,0.7948467776878216,0.9,0.8022035105039721,3.566539245104521,2.658001767081172,0.21054752543032118,1.1721876245560493e-15,True,0.7667037024940004,0.06983101978404678,0.035499808009971656
t41d,2,C2 (Dune),0.11,0.5,2.6054998464614667,3.6867284613322653,0.2845559914688215,7.843766026296405e-14,0.770318641984163,0.5,0.2845559914688215,7.843766026296405e-14,0.770318641984163,0.8,0.7770756012017066,3.073815334963421,3.0220560455752343,0.24568467984362963,1.8109489234945675e-14,True,0.7237791176947121,0.06693840477474468,0.05329648350699445
d43,2,C2 (Dune),0.0,0.5,3.0211820448804394,4.135733063586726,0.23853936263237818,5.525522134785544e-14,0.8177345719500692,0.5,0.23853936263237818,5.525522134785544e-14,0.8177345719500692,1.3,0.8429718933321114,3.9470470379189173,2.8618597657518956,0.1807632574756221,3.7127453672610084e-17,True,0.8191748699752062,0.07536719091058319,0.023797023356905256
d44,2,C2 (Dune),0.08,0.5,2.8227215954590235,4.378511709931251,0.3302062851681802,5.061781294190596e-13,0.7207398794335141,0.5,0.3302062851681802,5.061781294190596e-13,0.7207398794335141,1.0,0.7378272681152569,3.696100132678085,3.1281691401124307,0.2704712738554165,2.276989374421341e-14,True,0.6843861686707252,0.0877392163295046,0.05344109944453168
