well,Cluster,Cluster_Label,ref_depth,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_3,R2,beta_3_positive,beta_3_sig
d15,2,C2 (Dune),7.9,4.478979424323658,1.91845584529371,0.02907740480504431,2.4236788217400813e-09,0.7845616346879338,True,True
d15,2,C2 (Dune),8.0,4.479770143539472,1.9170651497708127,0.02871356509097555,2.5091620865251905e-09,0.7844108911073869,True,True
d17,2,C2 (Dune),0.5,3.0990588744497733,3.2140243512762927,0.24661523535414326,3.832300559744836e-10,0.6932489929530286,True,True
d17,2,C2 (Dune),0.6,3.237655976766678,3.0279539530452286,0.2364253714709636,2.3024453379705048e-10,0.696394611037533,True,True
d17,2,C2 (Dune),0.7,3.3621694116745227,2.8585609915974417,0.22578947720385684,1.6573720124277456e-10,0.6984080038597664,True,True
d17,2,C2 (Dune),0.8,3.4730111382110582,2.7059529678592735,0.21511605372409262,1.376608041797789e-10,0.6995391933288071,True,True
d17,2,C2 (Dune),0.9,3.571122502795391,2.5693788329087894,0.20467648128769667,1.2768818504612494e-10,0.6999963547708087,True,True
d17,2,C2 (Dune),1.0,3.6576913362514905,2.4476305285316893,0.19464025677624142,1.28723059740923e-10,0.69994731529825,True,True
d17,2,C2 (Dune),1.1,3.7339740739722895,2.339306224300452,0.18510429860942282,1.3799556781597833e-10,0.6995244169553243,True,True
d17,2,C2 (Dune),1.2,3.8011922976032344,2.242971844221817,0.17611558606327893,1.5465083200266075e-10,0.6988304140373109,True,True
d17,2,C2 (Dune),1.3,3.8604784053447165,2.157253104088917,0.16768783989089103,1.7880856777148045e-10,0.6979441983007382,True,True
d17,2,C2 (Dune),1.4,3.9128519145196834,2.080882603020129,0.1598134125660357,2.1115834997448521e-10,0.6969258272002636,True,True
d17,2,C2 (Dune),1.5,3.9592138336566105,2.012719198893597,0.15247155348920322,2.527672090683124e-10,0.69582070260096,True,True
d17,2,C2 (Dune),1.6,4.000351002564521,1.9517511299828416,0.1456340339087106,3.0497679295806186e-10,0.6946629295199864,True,True
d17,2,C2 (Dune),1.7,4.036945391225871,1.897090207147488,0.13926889799711667,3.693397824071169e-10,0.6934779595951959,True,True
d17,2,C2 (Dune),1.8,4.069585383328432,1.8479615964387968,0.13334290877707333,4.475737765793496e-10,0.6922846437657897,True,True
d17,2,C2 (Dune),1.9,4.098777360017975,1.8036918834342885,0.12782309832745653,5.415229760823041e-10,0.6910968125788362,True,True
d17,2,C2 (Dune),2.0,4.1249566918490395,1.763696953048402,0.12267771116580621,6.531234587373161e-10,0.6899244863616408,True,True
d17,2,C2 (Dune),2.1,4.148497719290308,1.7274705043284002,0.1178767417937298,7.843704163404132e-10,0.6887747990525662,True,True
d17,2,C2 (Dune),2.2,4.169722574150089,1.6945735903866908,0.1133922047640611,9.37286942730609e-10,0.6876527022747843,True,True
d17,2,C2 (Dune),2.3,4.188908843717215,1.6646253234142383,0.10919823169778718,1.1138945169444666e-09,0.6865615015589916,True,True
d17,2,C2 (Dune),2.4,4.206296155525562,1.6372947450566047,0.10527105918784244,1.3161855341498596e-09,0.6855032646940064,True,True
d17,2,C2 (Dune),2.5,4.222091794046986,1.6122937896763803,0.10158895052371322,1.5460982663918005e-09,0.6844791327688154,True,True
d17,2,C2 (Dune),2.6,4.236475469970101,1.5893712348507463,0.09813207978656957,1.8054945743337554e-09,0.6834895571693955,True,True
d17,2,C2 (Dune),2.7,4.249603359229937,1.5683075229966934,0.09488239706185525,2.0961405906878967e-09,0.6825344801968407,True,True
d17,2,C2 (Dune),2.8,4.261611519206528,1.5489103400147641,0.09182348686764394,2.419690485030096e-09,0.6816134727123184,True,True
d17,2,C2 (Dune),2.9,4.272618777279666,1.531010845156744,0.08894042741185945,2.777673314567002e-09,0.680725838983449,True,True
d17,2,C2 (Dune),3.0,4.282729174292427,1.5144604573603933,0.08621965528564762,3.171482874792834e-09,0.6798706964618251,True,True
d17,2,C2 (Dune),3.1,4.292034033517396,1.4991281150211027,0.08364883820342997,3.6023703915687142e-09,0.679047036372479,True,True
d17,2,C2 (Dune),3.2,4.300613714928975,1.4848979374888476,0.08121675708976325,4.071439842516214e-09,0.6782537695973381,True,True
d17,2,C2 (Dune),3.3,4.3085391051311,1.4716672269524937,0.07891319796790264,4.579645659715296e-09,0.677489761275311,True,True
d17,2,C2 (Dune),3.4,4.315872885162272,1.4593447585861232,0.07672885357370644,5.1277925452068355e-09,0.676753856737998,True,True
d17,2,C2 (Dune),3.5,4.322670611497886,1.4478493148503362,0.0746552342977569,5.71653712331276e-09,0.6760449007891747,True,True
d17,2,C2 (Dune),3.6,4.328981639760534,1.4371084267260192,0.07268458787780696,6.3463911565016355e-09,0.6753617518708848,True,True
d17,2,C2 (Dune),3.7,4.334849915784844,1.4270572905160661,0.07080982717477115,7.0177260620593726e-09,0.6747032923037122,True,True
d17,2,C2 (Dune),3.8,4.340314654627175,1.4176378338029174,0.0690244653358844,7.730778482894206e-09,0.6740684355168876,True,True
d17,2,C2 (Dune),3.9,4.345410924733233,1.4087979083204676,0.0673225576562623,8.485656685551342e-09,0.6734561309752914,True,True
d17,2,C2 (Dune),4.0,4.3501701516714215,1.4004905910013095,0.06569864948010662,9.28234758036086e-09,0.6728653673500041,True,True
d17,2,C2 (Dune),4.1,4.354620553506719,1.3926735773965349,0.06414772952534566,1.0120724181390307e-08,0.6722951743554197,True,True
d17,2,C2 (Dune),4.2,4.358787517952267,1.3853086541265736,0.06266518806408572,1.1000553346544955e-08,0.6717446235804503,True,True
d17,2,C2 (Dune),4.3,4.362693929824298,1.378361239082627,0.06124677944172781,1.1921503660118613e-08,0.6712128285674344,True,True
d17,2,C2 (Dune),4.4,4.366360455982409,1.3717999798267568,0.05988858846730389,1.2883153340828551e-08,0.6706989443350647,True,True
d17,2,C2 (Dune),4.5,4.369805793820947,1.3655964020875664,0.05858700025499823,1.3884998077522187e-08,0.6702021664971365,True,True
d17,2,C2 (Dune),4.6,4.373046888440985,1.3597246014659936,0.05733867314102552,1.4926458712196133e-08,0.6697217300943057,True,True
d17,2,C2 (Dune),4.7,4.376099122852332,1.3541609724887946,0.05614051434063101,1.6006888705730037e-08,0.6692569082290927,True,True
d17,2,C2 (Dune),4.8,4.3789764849011705,1.3488839700089885,0.05498965804688463,1.712558133561137e-08,0.66880701057336,True,True
d17,2,C2 (Dune),4.9,4.381691714068005,1.3438738986792353,0.05388344570619,1.8281776586992776e-08,0.6683713818011199,True,True
d17,2,C2 (Dune),5.0,4.384256430820818,1.3391127268378737,0.05281940823520279,1.947466770912765e-08,0.6679493999867432,True,True
d17,2,C2 (Dune),5.1,4.3866812508165935,1.3345839216669453,0.05179524997044283,2.0703407418129593e-08,0.667540474998698,True,True
d17,2,C2 (Dune),5.2,4.388975885918718,1.3302723029219254,0.050808834165482035,2.196711373474699e-08,0.6671440469111765,True,True
d17,2,C2 (Dune),5.3,4.391149233716411,1.326163912906873,0.04985816987156584,2.3264875451981244e-08,0.6667595844499387,True,True
d17,2,C2 (Dune),5.4,4.393209456999178,1.3222459006872942,0.048941400056040876,2.4595757233127193e-08,0.666386583484019,True,True
d17,2,C2 (Dune),5.5,4.39516405443795,1.3185064188040005,0.04805679082940021,2.5958804344482875e-08,0.6660245655713084,True,True
d17,2,C2 (Dune),5.6,4.397019923553817,1.3149345309837823,0.047202721666214836,2.7353047031035044e-08,0.6656730765632364,True,True
d17,2,C2 (Dune),5.7,4.398783416910009,1.3115201295403711,0.04637767651805044,2.877750454559256e-08,0.6653316852716259,True,True
d17,2,C2 (Dune),5.8,4.400460392339189,1.3082538613298205,0.045580235727759905,3.023118884421057e-08,0.6649999821991682,True,True
d17,2,C2 (Dune),5.9,4.402056257910366,1.3051270612706394,0.044809068664527385,3.171310796229327e-08,0.664677578333726,True,True
d17,2,C2 (Dune),6.0,4.403576012249941,1.3021316925643331,0.044062927007873336,3.322226908636359e-08,0.6643641040057593,True,True
d17,2,C2 (Dune),6.1,4.405024280750785,1.2992602928610686,0.04334063861661344,3.475768133784777e-08,0.6640592078074977,True,True
d17,2,C2 (Dune),6.2,4.406405348138199,1.2965059257085647,0.04264110192566698,3.631835828496187e-08,0.6637625555719944,True,True
d17,2,C2 (Dune),6.3,4.407723187800937,1.293862136703419,0.04196328081971639,3.7903320199162865e-08,0.6634738294098728,True,True
d17,2,C2 (Dune),6.4,4.408981488246033,1.2913229138343452,0.04130619993811318,3.951159607247366e-08,0.6631927268013558,True,True
d17,2,C2 (Dune),6.5,4.410183676993013,1.2888826515683964,0.04066894037021452,4.114222541185951e-08,0.6629189597410401,True,True
d17,2,C2 (Dune),6.6,4.41133294218338,1.2865361182831818,0.04005063570459769,4.27942598258003e-08,0.6626522539328165,True,True
d17,2,C2 (Dune),6.7,4.412432252150653,1.2842784266957552,0.0394504683993468,4.4466764418717994e-08,0.6623923480323284,True,True
d17,2,C2 (Dune),6.8,4.413484373165106,1.282105006978241,0.03886766644397717,4.615881900712296e-08,0.6621389929343926,True,True
d17,2,C2 (Dune),6.9,4.414491885544541,1.2800115822860079,0.03830150028652628,4.786951917184534e-08,0.6618919511028576,True,True
