Date,P_m,PET
1968-06-01,0.0469,0.09814441745418842
1968-07-01,0.0867,0.1016491510209886
1968-08-01,0.0583,0.09667842625377908
1968-09-01,0.1021,0.07225938584534675
1968-10-01,0.09820000000000001,0.054459713442633735
1968-11-01,0.06709999999999999,0.024835392270560863
1968-12-01,0.0502,0.014892339426126694
1969-01-01,0.1163,0.01951578198167115
1969-02-01,0.0722,0.008734358401980655
1969-03-01,0.028,0.021088125372411493
1969-04-01,0.06659999999999999,0.04292976318727891
1969-05-01,0.0848,0.06951025304429725
1969-06-01,0.0582,0.09275851475823557
1969-07-01,0.013,0.10550468138131427
1969-08-01,0.06420000000000001,0.0967200424752313
1969-09-01,0.0286,0.07177330312876752
1969-10-01,0.019100000000000002,0.05913769051410904
1969-11-01,0.1864,0.020810712523249834
1969-12-01,0.1191,0.015807619204701032
1970-01-01,0.0732,0.017001834185556813
1970-02-01,0.0594,0.01496791457492109
1970-03-01,0.0696,0.023380400873965625
1970-04-01,0.098,0.03682918463957266
1970-05-01,0.0104,0.07934693749883481
1970-06-01,0.0426,0.10696162199653804
1970-07-01,0.0772,0.09702368111418107
1970-08-01,0.0828,0.09543942712559317
1970-09-01,0.0482,0.07140363075197767
1970-10-01,0.0902,0.04781093212594866
1970-11-01,0.179,0.029199976986994496
1970-12-01,0.0485,0.017033448129441908
1971-01-01,0.061,0.01909097561041845
1971-02-01,0.0466,0.020490121679829047
1971-03-01,0.0917,0.02635220686630375
1971-04-01,0.041100000000000005,0.04518095396127046
1971-05-01,0.027600000000000003,0.07292471015106705
1971-06-01,0.0677,0.08416658461796446
1971-07-01,0.044700000000000004,0.10862868211304216
1971-08-01,0.0582,0.09245043288091427
1971-09-01,0.0351,0.07442579399004998
1971-10-01,0.0499,0.052148258370898544
1971-11-01,0.1017,0.026500013897336836
1971-12-01,0.0257,0.022739386994752423
1972-01-01,0.0889,0.015762382708221532
1972-02-01,0.0514,0.019749629582960525
1972-03-01,0.06559999999999999,0.03071155410696141
1972-04-01,0.0844,0.04506807516687729
1972-05-01,0.0378,0.06595612435860727
1972-06-01,0.0988,0.07686688375497379
1972-07-01,0.0707,0.10276003809463356
1972-08-01,0.0291,0.08556533809064816
1972-09-01,0.0263,0.06313088198914095
1972-10-01,0.0394,0.050469549959310904
1972-11-01,0.1271,0.026428055521061436
1972-12-01,0.0851,0.02423083153512482
1973-01-01,0.047200000000000006,0.020094537598704654
1973-02-01,0.028,0.02089200110206106
1973-03-01,0.033600000000000005,0.03274085010276137
1973-04-01,0.0489,0.041483568791324026
1973-05-01,0.0877,0.07640703799884871
1973-06-01,0.013800000000000002,0.09359175703298014
1973-07-01,0.08059999999999999,0.09963003689239167
1973-08-01,0.0923,0.09829568908165026
1973-09-01,0.1267,0.07049681350896636
1973-10-01,0.0571,0.04364984419415751
1973-11-01,0.09609999999999999,0.025576571100006325
1973-12-01,0.07759999999999999,0.01900071311302554
1974-01-01,0.1436,0.02267580298726488
1974-02-01,0.08990000000000001,0.022375019379879263
1974-03-01,0.0352,0.02889485935440675
1974-04-01,0.0077,0.048548670070704764
1974-05-01,0.0643,0.06963758820719777
1974-06-01,0.023100000000000002,0.0930474612463035
1974-07-01,0.084,0.09640862947337421
1974-08-01,0.040100000000000004,0.09014647109139844
1974-09-01,0.16,0.06285460654205209
1974-10-01,0.0859,0.03791787862660432
1974-11-01,0.08270000000000001,0.024519711544840884
1974-12-01,0.0521,0.025180160169048765
1975-01-01,0.1275,0.02391431549574245
1975-02-01,0.0212,0.020623838298252928
1975-03-01,0.0482,0.025161553895034106
1975-04-01,0.0762,0.043659890832340245
1975-05-01,0.0245,0.06503639496473616
1975-06-01,0.0111,0.09701412888570216
1975-07-01,0.048100000000000004,0.11248865186786268
1975-08-01,0.07790000000000001,0.10356888713916601
1975-09-01,0.0756,0.06574313044886386
1975-10-01,0.058,0.04645821177532287
1975-11-01,0.09490000000000001,0.025079751644192277
1975-12-01,0.0544,0.021431300542518315
1976-01-01,0.0523,0.021534727075879896
1976-02-01,0.040299999999999996,0.01799267140826036
1976-03-01,0.0402,0.025179754509776792
1976-04-01,0.0371,0.04472511435985001
1976-05-01,0.0445,0.07151196178352197
1976-06-01,0.016,0.09991429333717253
1976-07-01,0.0296,0.11600806250729032
1976-08-01,0.0107,0.1056562968052483
1976-09-01,0.1404,0.06477702258717025
1976-10-01,0.12919999999999998,0.04418791345326313
1976-11-01,0.0943,0.02463627092525302
1976-12-01,0.0571,0.011683447601058427
1977-01-01,0.0855,0.012744533404528961
1977-02-01,0.16119999999999998,0.019502317064052963
1977-03-01,0.0567,0.03405172793072259
1977-04-01,0.0584,0.03999033237293427
1977-05-01,0.0256,0.06895041455591083
1977-06-01,0.0737,0.08467838211772347
1977-07-01,0.0209,0.10867801546433929
1977-08-01,0.055299999999999995,0.09640302409531769
1977-09-01,0.0466,0.06800425417397445
1977-10-01,0.1222,0.05563617246367956
1977-11-01,0.11,0.024194511464570752
1977-12-01,0.1047,0.02101777974365804
1978-01-01,0.0845,0.015338096694545283
1978-02-01,0.0755,0.013786997832521804
1978-03-01,0.0627,0.03223038251697308
1978-04-01,0.0371,0.0384061668458341
1978-05-01,0.0173,0.07694759253628898
1978-06-01,0.0471,0.08770608096386205
1978-07-01,0.0699,0.09510379298732921
1978-08-01,0.0702,0.0879929390134293
1978-09-01,0.0506,0.07006105659399507
1978-10-01,0.037399999999999996,0.05466153011184296
1978-11-01,0.0718,0.03208347597747382
1978-12-01,0.1313,0.01692505364637493
1979-01-01,0.0998,0.009799595941091878
1979-02-01,0.0425,0.010223249088159799
1979-03-01,0.1006,0.024735507655194784
1979-04-01,0.047,0.04190513765371465
1979-05-01,0.0851,0.05931107080643422
1979-06-01,0.013099999999999999,0.09300532587076699
1979-07-01,0.0177,0.10401098063345764
1979-08-01,0.09079999999999999,0.08955773905716956
1979-09-01,0.052899999999999996,0.06827327919857296
1979-10-01,0.1016,0.05326700132703644
1979-11-01,0.1268,0.029807223831806035
1979-12-01,0.1555,0.0222024736495828
1980-01-01,0.116,0.013864195121099435
1980-02-01,0.11170000000000001,0.02421565065401768
1980-03-01,0.08929999999999999,0.02702664957411103
1980-04-01,0.007,0.05004022851055693
1980-05-01,0.0298,0.076546511276323
1980-06-01,0.0673,0.08931998963371092
1980-07-01,0.0299,0.10029764798066146
1980-08-01,0.0991,0.09244137571744966
1980-09-01,0.0714,0.07310496529954373
1980-10-01,0.1093,0.042065607414127945
1980-11-01,0.0953,0.025371592266761257
1980-12-01,0.07759999999999999,0.020620792885877134
1981-01-01,0.0516,0.01899533668267522
1981-02-01,0.031100000000000003,0.015466569602552603
1981-03-01,0.1519,0.036242050158233244
1981-04-01,0.0659,0.04675661480348898
1981-05-01,0.055,0.0723411550024083
1981-06-01,0.0514,0.08483791571416334
1981-07-01,0.040600000000000004,0.09836670201793743
1981-08-01,0.026,0.09575431469357418
1981-09-01,0.1016,0.0741110768324714
1981-10-01,0.1722,0.03823702773672257
1981-11-01,0.0768,0.028616815777814986
1981-12-01,0.07759999999999999,0.008538843918767493
1982-01-01,0.0416,0.014604367297598609
1982-02-01,0.054,0.021626208392463837
1982-03-01,0.0714,0.03201860580959452
1982-04-01,0.0222,0.048475021997872556
1982-05-01,0.0359,0.07705464354888751
1982-06-01,0.0569,0.10143464845614399
1982-07-01,0.030600000000000002,0.11052739897983484
1982-08-01,0.0669,0.09345548585423176
1982-09-01,0.1028,0.07082384382318485
1982-10-01,0.0998,0.046955072003396776
1982-11-01,0.1692,0.028612797547774457
1982-12-01,0.0845,0.016448881272861576
1983-01-01,0.081,0.02133968643622089
1983-02-01,0.041,0.010665279223659884
1983-03-01,0.0843,0.030842697340052266
1983-04-01,0.0619,0.036527948644312344
1983-05-01,0.0775,0.06711286858649382
1983-06-01,0.026199999999999998,0.09203393223976035
1983-07-01,0.009300000000000001,0.12017618254383457
1983-08-01,0.0787,0.10137901427900121
1983-09-01,0.1135,0.06843192698274084
1983-10-01,0.06470000000000001,0.046765757071489375
1983-11-01,0.0269,0.02782950249402513
1983-12-01,0.1402,0.02122542441622651
1984-01-01,0.1165,0.01530168815936716
1984-02-01,0.047700000000000006,0.016777362397931032
1984-03-01,0.040799999999999996,0.024605642812228188
1984-04-01,0.013800000000000002,0.04709415856181092
1984-05-01,0.0297,0.063283425776232
1984-06-01,0.0412,0.09182153096944703
1984-07-01,0.031,0.10840567854634915
1984-08-01,0.0689,0.10612729544455463
1984-09-01,0.1428,0.06739293701298238
1984-10-01,0.1107,0.04893425151033972
1984-11-01,0.1454,0.02724585102493194
1984-12-01,0.108,0.020063999400873434
1985-01-01,0.0571,0.007192223813676924
1985-02-01,0.055200000000000006,0.013195607742798912
1985-03-01,0.044700000000000004,0.025111946057343994
1985-04-01,0.0733,0.044765808755676144
1985-05-01,0.0608,0.06941424607273658
1985-06-01,0.0678,0.08360422496869983
1985-07-01,0.0684,0.1036078354880646
1985-08-01,0.141,0.08734781990757273
1985-09-01,0.0437,0.07441247231845892
1985-10-01,0.0395,0.048557580344430494
1985-11-01,0.1076,0.019868108508653975
1985-12-01,0.11090000000000001,0.021846754860539948
1986-01-01,0.09570000000000001,0.01683902141782359
1986-02-01,0.006900000000000001,0.0021809822799785245
1986-03-01,0.096,0.026421663478876464
1986-04-01,0.0636,0.03536938988378923
1986-05-01,0.0479,0.07057377363004844
1986-06-01,0.053899999999999997,0.10097054850316135
1986-07-01,0.0788,0.10156688584766281
1986-08-01,0.09359999999999999,0.08300788492983921
1986-09-01,0.0034,0.06047808381688065
1986-10-01,0.0773,0.05091909097901015
1986-11-01,0.1181,0.030374848629165663
1986-12-01,0.166,0.02349177134834362
1987-01-01,0.0237,0.00986356204736585
1987-02-01,0.052399999999999995,0.016056223253039636
1987-03-01,0.09440000000000001,0.028300923053477926
1987-04-01,0.0371,0.05573208888703895
1987-05-01,0.015,0.06949595032588006
1987-06-01,0.07970000000000001,0.08513023012463446
1987-07-01,0.0574,0.10589101455221657
1987-08-01,0.1056,0.09283716462713644
1987-09-01,0.0654,0.0695001959241337
1987-10-01,0.1925,0.04388066497566289
1987-11-01,0.0732,0.02626738896900023
1987-12-01,0.0678,0.018761894548089447
1988-01-01,0.1487,0.02144533753680793
1988-02-01,0.040600000000000004,0.02087452924718245
1988-03-01,0.101,0.03295203083938967
1988-04-01,0.040799999999999996,0.0478706879730625
1988-05-01,0.037899999999999996,0.07766820260932025
1988-06-01,0.028300000000000002,0.09914617464320387
1988-07-01,0.10959999999999999,0.09928398679204592
1988-08-01,0.0729,0.09023733113413936
1988-09-01,0.043,0.06651197057366015
1988-10-01,0.0823,0.04634277302129897
1988-11-01,0.0546,0.022004115166826346
1988-12-01,0.0737,0.02570078247623372
