Well,Well_Normalized,Months_Used,OneStep_R2_Traditional,OneStep_R2_StateSpace,OneStep_R2_Improvement,Iterative_R2_Traditional,Iterative_R2_StateSpace,Iterative_R2_Improvement,Iterative_NSE_Traditional,Iterative_NSE_StateSpace,Iterative_NSE_Improvement,Beta_P_StateSpace,Beta_PET_StateSpace,Beta_hdisp_StateSpace,pvalue_beta_1_StateSpace,pvalue_beta_2_StateSpace,pvalue_beta_3_StateSpace,R2_StateSpace_fit
CEH6,ceh6,100,0.8756331475760442,0.8934634214761046,0.017830273900060423,0.45283574953492367,0.7610578571511707,0.308222107616247,-0.34829464163874113,0.7077696589288568,1.056064300567598,5.334213446793058,-0.4001883327302702,0.12219793571925629,3.0092053668597213e-31,0.2568265393128452,5.496382160244272e-22,0.7552009270074146
CEH9,ceh9,100,0.9493799481062398,0.9497719473172629,0.0003919992110230641,0.690065877657267,0.8048469295968589,0.11478105193959187,0.6087615218971727,0.8040925874006947,0.19533106550352197,3.0472214299927396,2.145505473916032,0.034959868071550326,2.7192427937278106e-28,1.796065175884563e-13,1.284205200609479e-05,0.7934407600229019
D10,d10,100,0.9262945811930762,0.9289999680063277,0.002705386813251498,0.6618214241266883,0.8080493505849522,0.14622792645826388,0.49979287653963655,0.7892351065143105,0.28944222997467395,4.110000921375103,1.9341804971377723,0.05950455477579476,1.072634127377399e-30,5.64536456168636e-09,1.3244197465919122e-10,0.7914502404016382
D15,d15,100,0.9381081577206096,0.9407600810141344,0.002651923293524816,0.6621794745189155,0.828446101005777,0.16626662648686152,0.4288939871518692,0.8188151271735612,0.389921140021692,4.35240116564607,1.982469661691394,0.06283758865249625,5.529620264379071e-33,1.5098631341049641e-09,5.190234768166479e-12,0.8116336761691417
D17,d17,100,0.8652693631956405,0.8696706764193249,0.004401313223684422,0.5804923883837472,0.7508345790306966,0.17034219064694944,0.30325886011488157,0.7203902635571918,0.41713140344231026,4.3166589707479375,1.3513844651512736,0.07242073552037774,6.820047446209441e-24,0.0009060894349684602,1.106550872249784e-09,0.6867687395534388
D25,d25,100,0.9352830820438134,0.938258290671208,0.002975208627394643,0.27402717712250463,0.778769618296189,0.5047424411736843,-0.16073556061560446,0.7227687467957638,0.8835043074113682,4.000061589764851,1.673248957324297,0.06618166348733005,5.165163908645652e-33,2.8088807053674832e-08,6.944334894568307e-14,0.8053159776029364
D38,d38,100,0.912713269270924,0.9198627639535533,0.007149494682629265,0.5926201365871735,0.8529990129179796,0.26037887633080614,0.3425775331891404,0.8453394239595238,0.5027618907703834,5.443456051154417,1.226539275783697,0.10892240599514577,1.5177830413467759e-33,0.0006839091291038601,1.0913037157836069e-17,0.7927899224827535
D41,d41,100,0.9013027193875002,0.9057469936406327,0.004444274253132541,0.6136964967580876,0.7853480983480813,0.1716516015899937,0.4716758914687773,0.7697319006342569,0.2980560091654796,3.934627545055791,1.2973981884153236,0.0663853619816698,4.959741190642638e-26,0.00014631335240670857,1.0171252288536035e-10,0.72102991826334
D43,d43,100,0.9439859139170133,0.9480877694389945,0.004101855521981279,0.6308886962082065,0.8363050989151402,0.20541640270693362,0.3887998907977587,0.8280449470201408,0.4392450562223821,4.565374244926636,1.7475896216204543,0.07702766407705554,1.0907522417086438e-36,5.770833284294357e-09,5.486494324790721e-16,0.8352358234426188
D44,d44,100,0.9006449172213319,0.9062930268227747,0.005648109601442797,0.596013222350806,0.7596593431830055,0.16364612083219954,-0.20119870178538024,0.7297444164855735,0.9309431182709538,4.6696325906991145,1.284183013163827,0.09021156214143478,4.975651618036384e-25,0.0017959584180941967,2.0967895893373805e-11,0.6948140518508408
D5,d5,100,0.899547077350482,0.9034387053794826,0.00389162802900056,0.6342708686819636,0.7868826424363814,0.1526117737544178,0.20857213272310982,0.7593236705375694,0.5507515378144596,4.2831768032471675,1.6600677401717603,0.07071615882559354,2.143149151686492e-27,6.5243492632765825e-06,1.6927911394968092e-10,0.7427973815474807
D6,d6,100,0.930076182252651,0.9338257519032354,0.0037495696505843723,0.6491494045101165,0.8077379037815732,0.15858849927145668,0.39366964444170627,0.790767936723443,0.39709829228173676,4.371737568172469,1.966683621411891,0.06719526646914023,7.702247811663085e-32,4.889154084350233e-09,7.035020750074069e-12,0.7979583619405446
D7,d7,100,0.8717050395061533,0.8841510415625455,0.012446002056392236,0.066421959720619,0.5294899971268123,0.46306803740619334,-6.69372320076289,0.21403405818335208,6.907757258946242,4.716017697161468,1.8061071473464436,0.07598791070080456,7.27685063040181e-29,2.2269224626957428e-07,6.440329780973367e-13,0.762004218644728
D8,d8,100,0.9107573429943847,0.9131626832020324,0.0024053402076477104,0.6310602214833217,0.7825131230497983,0.1514529015664765,0.4747616299576325,0.7617574583253546,0.2869958283677221,3.7569231556023452,1.591317123371313,0.05675018355975307,6.491261781150797e-27,1.7202193468767989e-06,2.047956682515214e-09,0.7463496790086712
D9,d9,100,0.9316441152467136,0.9336409934403379,0.001996878193624263,0.6417268613598109,0.8282023506274725,0.18647548926766155,0.5111343440351012,0.8227024656749791,0.3115681216398779,4.286863016451522,2.0946533474390554,0.06230797139050788,5.019106156367458e-31,1.6197030090296732e-09,2.7080449958347586e-10,0.7947839510126674
L7,l7,100,0.9578366701532591,0.9615121072543574,0.0036754371010983,0.6596405906084635,0.869834655387359,0.21019406477889557,0.5414571644396453,0.8671669369375489,0.32570977249790356,4.354097953477732,2.530785429885345,0.08525492117204352,4.10776543452958e-41,2.4793436165453683e-18,3.517065197228368e-15,0.8698667676495846
NW1,nw1,100,0.9095206163832606,0.9130503028385607,0.0035296864553000518,0.6775534319572516,0.8152834153717576,0.13772998341450604,0.42863937099860905,0.8145762597640677,0.3859368887654586,4.367767723605582,1.967871979199984,0.10019449938254249,8.177734798470329e-29,9.196472906260021e-08,5.263667062535544e-11,0.7498198816387192
NW10,nw10,100,0.9533510022322913,0.9536348527970736,0.0002838505647823064,0.5963909270291611,0.7283778329274148,0.13198690589825368,0.25166939862386206,0.7236881148980097,0.4720187162741476,3.480581352946477,2.7162607785049255,0.039969995298225605,5.095399819772968e-29,1.2930122928575475e-15,4.288391016762273e-05,0.792184633260722
NW11,nw11,100,0.9335586440788788,0.9354738889553272,0.001915244876448452,0.700195370448641,0.8436712297171585,0.14347585926851747,0.43943830681784024,0.8397778563079232,0.400339549490083,4.497887486560675,2.014347637254651,0.07563098122129973,4.0867274437551875e-33,3.452307946084479e-09,2.8222561345052987e-12,0.8066747229162563
NW13,nw13,100,0.9270233152659679,0.9309981830689644,0.003974867802996496,0.6656775686280193,0.8417045704744454,0.17602700184642606,0.1681938276642002,0.828685775822674,0.6604919481584738,4.804868055108584,1.6344067412287744,0.08848830978246736,6.252123632807048e-35,6.245823595982446e-07,8.696541965303775e-16,0.8151099261690228
NW2,nw2,100,0.9220744404493166,0.924664245883265,0.002589805433948378,0.6873982245667526,0.8266420351929601,0.1392438106262075,0.18434528765046376,0.8204457312008735,0.6361004435504097,4.5566538858108325,1.7524960333027102,0.08162907714261791,3.994779930449039e-31,7.60320009393949e-07,1.323897039625599e-12,0.7815240454549617
NW3,nw3,100,0.8793942858944851,0.8864651270550177,0.007070841160532582,0.23284418677205052,0.597938161782173,0.3650939750101224,-2.697349790971704,0.21839941822714115,2.9157492091988453,4.376137354791349,2.0646643031624885,0.06741336521708333,3.67128374149427e-27,4.860935764744521e-08,1.0382789793460927e-10,0.7441370180692726
NW4,nw4,100,0.8561565653730802,0.8609673784448154,0.004810813071735254,0.5671987766437326,0.7144579469202458,0.14725917027651314,-2.115929805180983,0.5706476794512998,2.686577484632283,3.438889263378574,1.0339501913264337,0.05965411413253212,2.7580543609533148e-21,0.003293027771220688,1.8105278678779757e-08,0.6488064275356964
NW4B,nw4b,100,0.8633301335099527,0.8671775852383012,0.00384745172834855,0.5673671892690845,0.7231215673556963,0.15575437808661186,0.36433221355441947,0.6900654340496559,0.32573322049523645,3.5637338863078876,1.1054625946194365,0.06105753846798165,5.1430290682215994e-21,0.002714870027108475,2.5901669186020978e-08,0.6434060610030531
NW5,nw5,100,0.9232217646434816,0.92403002466915,0.0008082600256683614,0.6451015746698445,0.7884844708155819,0.1433828961457374,0.6020270382761799,0.7876916083774906,0.18566457010131077,3.567146561123721,2.0113866532980818,0.049824382740351454,1.4426260903800114e-26,2.9931988167428503e-09,3.272258424310668e-07,0.7506099571939135
NW6,nw6,100,0.8909481234257705,0.8952690742980906,0.004320950872320095,0.20986828610168654,0.627006387710524,0.41713810160883746,-2.7579992813648406,0.32101154200751414,3.0790108233723545,3.6268245480761507,1.5402410359891783,0.05852841531146123,3.1669010559321385e-26,1.3272789050580101e-06,1.2461027108148963e-10,0.7339486500931933
