month,median_level_modelled_m,median_level_calibrated_m,n_wells_run,median_level_observed_m,n_wells_observed,above_fitted_range,spin_up,climate_flagged,open_water_ha,wet_floor_ha,open_water_ha_raw_level,wet_floor_ha_raw_level
2002-02,-0.433,-0.178,66,,,False,False,False,11.317,47.322,3.662,37.118
2002-03,-0.573,-0.368,66,,,False,False,False,4.869,39.466,1.969,32.479
2002-04,-0.594,-0.39,66,,,False,False,False,4.426,38.663,1.792,31.826
2002-05,-0.656,-0.482,66,,,False,False,False,2.944,35.416,1.364,30.008
2002-06,-0.795,-0.66,66,,,False,False,False,1.337,29.882,0.734,26.261
2002-07,-0.919,-0.77,66,,,False,False,False,0.821,26.905,0.424,23.331
2002-08,-0.938,-0.79,66,,,False,False,False,0.752,26.396,0.39,22.922
2002-09,-1.147,-0.974,66,,,False,False,False,0.333,22.153,0.154,18.775
2002-10,-0.796,-0.66,66,,,False,False,False,1.337,29.882,0.733,26.253
2002-11,-0.406,-0.158,66,,,False,False,False,12.403,48.265,4.127,38.085
2002-12,-0.33,-0.099,66,,,False,False,False,16.054,51.022,5.783,40.954
2003-01,-0.328,-0.095,66,,,False,False,False,16.351,51.223,5.835,41.033
2003-02,-0.417,-0.159,66,,,False,False,False,12.345,48.216,3.921,37.668
2003-03,-0.519,-0.312,66,,,False,False,False,6.262,41.662,2.5,34.191
2003-04,-0.599,-0.395,66,,,False,False,False,4.334,38.489,1.751,31.666
2003-05,-0.589,-0.389,66,,,False,False,False,4.447,38.703,1.83,31.97
2003-06,-0.735,-0.59,66,,,False,False,False,1.824,31.946,0.958,27.812
2003-07,-0.963,-0.816,66,,,False,False,False,0.669,25.747,0.349,22.383
2003-08,-1.238,-1.077,66,,,False,False,False,0.211,20.081,0.103,17.222
2003-09,-1.112,-0.92,66,,,False,False,False,0.422,23.317,0.181,19.419
2003-10,-1.084,-0.907,66,,,False,False,False,0.448,23.612,0.204,19.93
2003-11,-0.958,-0.815,66,,,False,False,False,0.673,25.774,0.357,22.485
2003-12,-0.82,-0.683,66,,,False,False,False,1.207,29.228,0.658,25.655
2004-01,-0.692,-0.55,66,,,False,False,False,2.177,33.186,1.159,28.978
2004-02,-0.679,-0.52,66,,,False,False,False,2.487,34.153,1.228,29.34
2004-03,-0.766,-0.638,66,,,False,False,False,1.475,30.522,0.837,27.015
2004-04,-0.914,-0.76,66,,,False,False,False,0.858,27.163,0.434,23.452
2004-05,-1.076,-0.891,66,,,False,False,False,0.48,23.971,0.212,20.095
2004-06,-1.216,-1.07,66,,,False,False,False,0.217,20.208,0.114,17.584
2004-07,-1.391,-1.207,66,,,False,False,False,0.118,17.727,0.052,14.878
2004-08,-1.394,-1.21,66,,,False,False,False,0.117,17.681,0.052,14.829
2004-09,-1.357,-1.175,66,,,False,False,False,0.136,18.282,0.061,15.372
