h,P_m,PET,P_m_lag,h_prev,Delta_h,h_disp_prev,Drainage_Component,Well_Name,Tier,Period,neg_h_disp_prev
-1.35,0.0942,0.0672397287495123,0.0942,-1.25,-0.10000000000000009,2.45,-0.18505105174991365,CEH2,forest,After_Scrape2,-2.45
-1.39,0.0752,0.0483438039919346,0.0752,-1.35,-0.039999999999999813,2.35,-0.122184016058978,CEH2,forest,After_Scrape2,-2.35
-1.4,0.049,0.0272394490051505,0.049,-1.39,-0.010000000000000009,2.3100000000000005,-0.0749651949605268,CEH2,forest,After_Scrape2,-2.3100000000000005
-1.07,0.1192,0.0224852154410495,0.1192,-1.4,0.32999999999999985,2.3000000000000003,0.05469113827936946,CEH2,forest,After_Scrape2,-2.3000000000000003
-0.95,0.0973,0.0140101211804201,0.0973,-1.07,0.1200000000000001,2.63,-0.11636411515020781,CEH2,forest,After_Scrape2,-2.63
-0.87,0.0382,0.0192260797585776,0.0382,-0.95,0.07999999999999996,2.75,0.023970599748995014,CEH2,forest,After_Scrape2,-2.75
-1.09,0.0218,0.0353490293272799,0.0218,-0.87,-0.22000000000000008,2.83,-0.18667573285686256,CEH2,forest,After_Scrape2,-2.83
-1.24,0.0682,0.0552150687059312,0.0682,-1.09,-0.1499999999999999,2.6100000000000003,-0.19407333398263987,CEH2,forest,After_Scrape2,-2.6100000000000003
-1.39,0.031,0.0771729304951504,0.031,-1.24,-0.1499999999999999,2.46,-0.030538969054175413,CEH2,forest,After_Scrape2,-2.46
-1.5,0.0834,0.0982893286794334,0.0834,-1.39,-0.1100000000000001,2.3100000000000005,-0.08147683041263248,CEH2,forest,After_Scrape2,-2.3100000000000005
-1.66,0.0283999999999999,0.1122005792724127,0.0283999999999999,-1.5,-0.15999999999999992,2.2,0.06060882956928626,CEH2,forest,After_Scrape2,-2.2
-1.81,0.0264,0.1025614789707804,0.0264,-1.66,-0.15000000000000013,2.04,0.05041833054818762,CEH2,forest,After_Scrape2,-2.04
-1.76,0.1485999999999999,0.0664402364352144,0.1485999999999999,-1.81,0.050000000000000044,1.8900000000000001,-0.19032513233721532,CEH2,forest,After_Scrape2,-1.8900000000000001
-1.83,0.074,0.0464380731615376,0.074,-1.76,-0.07000000000000006,1.9400000000000002,-0.15391099708065853,CEH2,forest,After_Scrape2,-1.9400000000000002
-1.31,0.1840999999999999,0.0278318303644965,0.1840999999999999,-1.83,0.52,1.87,0.07632388721678732,CEH2,forest,After_Scrape2,-1.87
-1.02,0.1416,0.0207287668301382,0.1416,-1.31,0.29000000000000004,2.39,-0.05306842790075885,CEH2,forest,After_Scrape2,-2.39
-0.99,0.1242,0.0773953132087707,0.1242,-1.02,0.030000000000000027,2.68,-0.11229522440499934,CEH2,forest,After_Scrape2,-2.68
-0.6100000000000001,0.0276,0.0973267070145387,0.0276,-0.4549999999999999,-0.1550000000000002,3.245,0.020076563585801538,CEH13,forest,Before,-3.245
-0.7949999999999999,0.0108,0.1202802424961417,0.0108,-0.6100000000000001,-0.18499999999999983,3.09,0.07709202040905239,CEH13,forest,Before,-3.09
-0.875,0.088,0.0915104578380378,0.088,-0.7949999999999999,-0.08000000000000007,2.9050000000000002,-0.03710765209319242,CEH13,forest,Before,-2.9050000000000002
-0.97,0.0772,0.0777344341394993,0.0772,-0.875,-0.09499999999999997,2.825,-0.06336603390500262,CEH13,forest,Before,-2.825
