Date,Impact_Mean,Edge_Mean,Control_Mean,Impact_BACI_Delta,Edge_BACI_Delta,Impact_CUSUM,Edge_CUSUM
2016-11-01,-1.6099999999999999,-1.4133333333333333,-1.3739999999999999,-0.236,-0.03933333333333344,11.384878220759383,1.8984346593988697
2016-12-01,-1.625,-1.4749999999999999,-1.432,-0.19300000000000006,-0.04299999999999993,11.350013562614704,1.906592200707743
2017-02-01,-1.6112222222222221,-1.4405555555555558,-1.3989333333333334,-0.21228888888888875,-0.04162222222222245,11.295860015581136,1.9161275197943937
2017-03-01,-1.605,-1.425,-1.384,-0.22100000000000009,-0.04100000000000015,11.232995357436456,1.9262850611032667
2017-04-01,-1.4649999999999999,-1.3785714285714286,-1.27,-0.19499999999999984,-0.10857142857142854,11.196130699291778,1.8688711738407113
2017-05-01,-1.6425,-1.5964285714285715,-1.465,-0.1775,-0.13142857142857145,11.1767660411471,1.788600143721013
2017-06-01,-1.74,-1.68,-1.5519999999999998,-0.18800000000000017,-0.1280000000000001,11.146901383002422,1.7117576850298861
2017-07-01,-1.825,-1.7714285714285711,-1.6620000000000001,-0.1629999999999998,-0.10942857142857099,11.142036724857745,1.6534866549101883
2017-09-01,-1.935,-1.872857142857143,-1.778,-0.15700000000000003,-0.09485714285714297,11.143172066713065,1.6097870533619185
2017-10-01,-1.965,-1.8957142857142857,-1.8199999999999998,-0.14500000000000024,-0.07571428571428584,11.156307408568386,1.5852303089565059
2017-11-01,-1.8266666666666669,-1.660625,-1.721,-0.1056666666666668,0.06037500000000007,11.20877608375704,1.696762850265379
2018-01-01,-1.6133333333333333,-1.4625,-1.4599999999999997,-0.15333333333333354,-0.0025000000000001688,11.213578092279029,1.745420391574252
2018-02-01,-1.5466666666666666,-1.3699999999999999,-1.3439999999999999,-0.20266666666666677,-0.026000000000000023,11.169046767467684,1.7705779328831253
2018-03-01,-1.4233333333333336,-1.2487499999999998,-1.208,-0.2153333333333336,-0.04074999999999984,11.111848775989671,1.7809854741919986
2018-04-01,-1.3683333333333334,-1.1993749999999999,-1.144,-0.2243333333333335,-0.05537499999999995,11.04565078451166,1.7767680155008718
2018-05-01,-1.5433333333333332,-1.3875000000000002,-1.3199999999999998,-0.22333333333333338,-0.06750000000000034,10.980452793033647,1.7604255568097447
2018-06-01,-1.6833333333333333,-1.53625,-1.486,-0.19733333333333336,-0.050249999999999906,10.941254801555635,1.761333098118618
