spec,window_start,window_end,window_years,n_obs,n_wells,delta_0_mm_yr,delta_0_se,L_m,L_se,c_mm_yr,c_se,far_field_observed_mm_yr,n_far_field_wells,panel_max_dist_m,at_bound,reach_exceeds_panel,usable
forest_free,2011-10,2026-02,14.338124572210814,8936,60,-27.69964714801051,4.070174028627368,523.7998075274143,57.662288023156385,6.097408818271993,0.6775792048554986,-1.2235534810285873,41,2338.0,False,False,True
forest_free,2011-11,2026-02,14.25325119780972,8910,60,-26.813040653704174,3.997180428197134,523.8004640480584,54.815598507260376,5.983051353704873,0.6844647026461457,-1.2235534810285873,41,2338.0,False,False,True
forest_free,2011-12,2026-02,14.171115674195756,8870,60,-25.863596640988806,4.1315767770693945,523.7996319307872,62.18183383604309,5.611516213616195,0.6842117654574668,-1.2235534810285873,41,2338.0,False,False,True
forest_free,2012-01,2026-02,14.08624229979466,8827,60,-25.914100606608994,4.16303447040585,523.7983133721582,62.26770735337118,5.313610710890771,0.6880516465984444,-4.007312912092285,41,2338.0,False,False,True
forest_free,2012-02,2026-02,14.001368925393566,8781,60,-25.719117850658005,4.086440140741186,523.8000190653743,57.69871259770871,4.804723630137043,0.6962786178246518,-4.007312912092285,41,2338.0,False,False,True
forest_free,2012-03,2026-02,13.921971252566735,8732,60,-26.24769809222941,4.115787623789192,523.8006967508787,56.76330591806209,4.257555041296405,0.7011173771332831,-4.007312912092285,41,2338.0,False,False,True
forest_free,2012-04,2026-02,13.83709787816564,8683,60,-26.20205956761217,4.252702554658116,523.7999743442678,62.46730811632815,3.5627964902390343,0.70127166112867,-4.007312912092285,41,2338.0,False,False,True
forest_free,2012-05,2026-02,13.754962354551678,8634,60,-25.913280944667232,4.173217854592,523.8020586278826,57.92017017457384,2.9530823629212954,0.7109520915626638,-4.007312912092285,41,2338.0,False,False,True
forest_free,2012-06,2026-02,13.670088980150581,8585,60,-25.819337139710584,4.324881948661497,523.7999195710194,64.14968762289419,2.445308332664587,0.7146206465809324,-4.007312912092285,41,2338.0,False,False,True
forest_free,2012-07,2026-02,13.587953456536619,8536,60,-25.29295919420805,4.251653659726731,523.8000643778162,60.04692943369523,2.437781436139107,0.7271107442467155,-4.007312912092285,41,2338.0,False,False,True
forest_free,2012-08,2026-02,13.503080082135524,8486,60,-24.72698575274029,4.417182581351724,523.7993772095813,68.23063599013203,2.724609504277839,0.7325644588535528,-4.007312912092285,41,2338.0,False,False,True
forest_free,2012-09,2026-02,13.418206707734429,8435,60,-23.858950932073384,4.448445078682909,523.7995882136781,71.20688233468111,3.545653039626581,0.7390652174570802,-4.007312912092285,41,2338.0,False,False,True
forest_free,2012-10,2026-02,13.336071184120465,8385,60,-23.368907807881662,4.467184708782396,523.7999821550954,73.00112587374241,4.630797594857185,0.7431919747683726,-4.007312912092285,41,2338.0,False,False,True
forest_free,2012-11,2026-02,13.25119780971937,8334,60,-23.770999099864422,4.32623933615858,523.8046281487906,64.66648522324853,6.307821140610569,0.7462966697192729,-4.007312912092285,41,2338.0,False,False,True
forest_free,2012-12,2026-02,13.169062286105408,8283,60,-24.3329209280857,4.298023472106495,523.8011443369077,62.67133672932822,8.070602163438306,0.742434702293353,-4.007312912092285,41,2338.0,False,False,True
forest_free,2013-01,2026-02,13.084188911704311,8231,60,-24.556787335878173,4.292319240735479,523.8015620561348,61.92884895718758,9.514596399205116,0.7422479248698111,0.39057537032399087,41,2338.0,False,False,True
forest_free,2013-02,2026-02,12.999315537303216,8178,60,-24.8338914539975,4.288756205108081,523.8052280938151,61.09850594458831,11.02907403333938,0.7433610913432429,0.39057537032399087,41,2338.0,False,False,True
forest_free,2013-03,2026-02,12.922655715263518,8125,60,-25.644250163665685,4.301807015498171,523.8035897247206,59.25878307422671,12.361880090980437,0.7477320692270544,0.39057537032399087,41,2338.0,False,False,True
forest_free,2013-04,2026-02,12.837782340862423,8072,60,-26.41056194479798,4.339648234790837,523.8026288711417,57.95636216191841,13.112009622995846,0.7545733368838048,0.39057537032399087,41,2338.0,False,False,True
forest_free,2013-05,2026-02,12.75564681724846,8019,60,-26.40246978193952,4.381163019968093,523.8096233854158,58.43936341975798,13.76975624850736,0.7623213219929399,0.39057537032399087,41,2338.0,False,False,True
forest_free,2013-06,2026-02,12.670773442847365,7966,60,-26.771637552004748,4.565806802276905,523.7994935164792,65.09818743357505,14.58245305739782,0.7655251623778737,0.39057537032399087,41,2338.0,False,False,True
forest_free,2013-07,2026-02,12.588637919233403,7913,60,-26.18387703103792,4.6071224516663865,523.7999874550358,67.15934051606128,15.442956274124974,0.7733953389655682,0.39057537032399087,41,2338.0,False,False,True
forest_free,2013-08,2026-02,12.503764544832306,7860,60,-25.219545721866364,4.644298131533489,523.7999260943844,70.28765535004243,16.470535217130177,0.781725365905566,0.39057537032399087,41,2338.0,False,False,True
forest_free,2013-09,2026-02,12.41889117043121,7807,60,-24.606822601803927,4.673955495219712,523.7997438024897,72.49560750963171,17.744445938781936,0.7891511284023646,0.39057537032399087,41,2338.0,False,False,True
forest_free,2013-10,2026-02,12.336755646817249,7754,60,-23.713412707672507,4.712109021913833,523.7995149988582,75.84133720769483,18.879075918620988,0.798929171006668,0.39057537032399087,41,2338.0,False,False,True
forest_free,2013-11,2026-02,12.251882272416154,7702,60,-23.756250979410275,4.577272054843623,523.8003649758817,67.17204404056278,20.20241704520713,0.8101188945807256,0.39057537032399087,41,2338.0,False,False,True
forest_free,2013-12,2026-02,12.16974674880219,7650,60,-23.98686685679527,4.628024273637256,523.8180311216123,67.14772689072102,21.03470328161586,0.8237181136374806,0.39057537032399087,41,2338.0,False,False,True
forest_free,2014-01,2026-02,12.084873374401095,7598,60,-24.73386841567959,4.824697057276001,523.7986182228633,74.44953018729251,22.516589818395325,0.8273389336575098,-0.3063757835606168,41,2338.0,False,False,True
forest_free,2014-02,2026-02,12.0,7545,60,-25.19953406044556,4.6552395331849565,523.8003128625865,64.04652293165886,24.19539560111741,0.8348360442270035,-0.3063757835606168,41,2338.0,False,False,True
c3_only,2005-03,2026-02,20.922655715263517,3676,20,-22.00212966455093,3.122794762346757,893.6888688055406,105.95371805375373,-4.453100445291042,1.2244408783957321,-8.831453634085186,6,1375.8,False,False,True
c3_only,2005-04,2026-02,20.83778234086242,3671,20,-22.001040051710724,3.1279706645554275,893.697239109095,106.24848071649373,-4.481981231899137,1.2284413454471126,-8.831453634085186,6,1375.8,False,False,True
c3_only,2005-05,2026-02,20.75564681724846,3666,20,-21.99437923543962,3.133187927317618,893.699837991341,106.57027214612134,-4.512917999870468,1.232596353366996,-8.831453634085186,6,1375.8,False,False,True
c3_only,2005-06,2026-02,20.670773442847366,3661,20,-21.98199692097393,3.137060114609862,893.69909497992,106.87397071610684,-4.41094499996638,1.236202042803983,-8.831453634085186,6,1375.8,False,False,True
c3_only,2005-07,2026-02,20.588637919233403,3661,20,-21.98199692097393,3.137060114609862,893.69909497992,106.87397071610684,-4.41094499996638,1.236202042803983,-8.831453634085186,6,1375.8,False,False,True
c3_only,2005-08,2026-02,20.503764544832308,3656,20,-22.033667341060415,3.140599863576405,893.6997746561849,106.8549313528934,-4.316446576981119,1.23954280174908,-8.831453634085186,6,1375.8,False,False,True
c3_only,2005-09,2026-02,20.418891170431213,3651,20,-22.053170028086775,3.1444591722358606,893.6994662276659,107.0024682073543,-4.229264083210341,1.24294773656802,-8.831453634085186,6,1375.8,False,False,True
c3_only,2005-10,2026-02,20.33675564681725,3646,20,-22.284457643087425,3.159299983554589,887.5062740596476,105.21654673345314,-4.1165710304833505,1.2409438156507309,-8.831453634085186,6,1375.8,False,False,True
c3_only,2005-11,2026-02,20.251882272416154,3641,20,-22.789604853408807,3.1490007362306303,884.5784137059503,101.83916552416943,-3.6850362173980336,1.2388770128204625,-8.831453634085186,6,1375.8,False,False,True
c3_only,2005-12,2026-02,20.16974674880219,3636,20,-23.03936709297865,3.146363150791806,881.2453749314767,99.8425482998545,-3.3954158593092334,1.2398831812282283,-8.831453634085186,6,1375.8,False,False,True
